"id","activity_data","inventory_value_id","datasource_id","metadata","created","last_updated","co2eq","co2eq_years","activity_data_jsonb","id-2","activity_units","activity_value","co2eq-2","sub_category_id","inventory_id","created-2","last_updated-2","datasource_id-2","co2eq_years-2","gpc_reference_number","sector_id","unavailable_reason","unavailable_explanation","sub_sector_id","input_methodology","id-3","inventory_value_id-2","emissions_factor_id","gas","gas_amount","activity_value_id","id-4","emissions_per_activity","url","units","created-3","last_updated-3","gpc_reference_number-2","gas-2","region","year","reference","inventory_id-2","metadata-2","formula_name","methodology_id","actor_id","methodology_name"
"0303284b-33a3-4c9f-b5ab-5ab9540296c2",NULL,"f643e290-043f-4e80-acb2-188753329234",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:32:30.351","2024-10-23 18:32:30.356","88492",100,"{""ch4_amount"": 1, ""co2_amount"": 88199, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""fugitive-emissions-oil-gas-type"": ""fugitive-emissions-oil-gas-type-all"", ""fugitive-emissions-oil-gas-fugitive-type"": ""type-all""}","f643e290-043f-4e80-acb2-188753329234",NULL,NULL,"88492","1483cc0a-dad1-34ed-81ef-5913ee3be6d1","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:32:30.347","2024-10-23 18:32:30.354",NULL,100,"I.8.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","b32f56a1-3a4e-3cd5-9052-e06284468700","direct-measure","50f9ca96-1b01-4b87-9d1a-5212b9ac64e9","f643e290-043f-4e80-acb2-188753329234","b6d3080d-99c5-43d9-a96f-1a9e273fc01c","N2O","1","0303284b-33a3-4c9f-b5ab-5ab9540296c2","b6d3080d-99c5-43d9-a96f-1a9e273fc01c","1",NULL,"","2024-10-23 18:32:30.364","2024-10-23 18:32:30.364","I.8.1","N2O",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"0303284b-33a3-4c9f-b5ab-5ab9540296c2",NULL,"f643e290-043f-4e80-acb2-188753329234",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:32:30.351","2024-10-23 18:32:30.356","88492",100,"{""ch4_amount"": 1, ""co2_amount"": 88199, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""fugitive-emissions-oil-gas-type"": ""fugitive-emissions-oil-gas-type-all"", ""fugitive-emissions-oil-gas-fugitive-type"": ""type-all""}","f643e290-043f-4e80-acb2-188753329234",NULL,NULL,"88492","1483cc0a-dad1-34ed-81ef-5913ee3be6d1","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:32:30.347","2024-10-23 18:32:30.354",NULL,100,"I.8.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","b32f56a1-3a4e-3cd5-9052-e06284468700","direct-measure","8084ca86-8bea-4900-902d-4ad0b0aedcd9","f643e290-043f-4e80-acb2-188753329234","7125c09b-ccab-4f0b-a5f2-1f403f4e9e38","CO2","88199","0303284b-33a3-4c9f-b5ab-5ab9540296c2","7125c09b-ccab-4f0b-a5f2-1f403f4e9e38","88199",NULL,"","2024-10-23 18:32:30.361","2024-10-23 18:32:30.361","I.8.1","CO2",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"0303284b-33a3-4c9f-b5ab-5ab9540296c2",NULL,"f643e290-043f-4e80-acb2-188753329234",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:32:30.351","2024-10-23 18:32:30.356","88492",100,"{""ch4_amount"": 1, ""co2_amount"": 88199, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""fugitive-emissions-oil-gas-type"": ""fugitive-emissions-oil-gas-type-all"", ""fugitive-emissions-oil-gas-fugitive-type"": ""type-all""}","f643e290-043f-4e80-acb2-188753329234",NULL,NULL,"88492","1483cc0a-dad1-34ed-81ef-5913ee3be6d1","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:32:30.347","2024-10-23 18:32:30.354",NULL,100,"I.8.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","b32f56a1-3a4e-3cd5-9052-e06284468700","direct-measure","3c761874-9947-4952-822c-d3ab98bba4e8","f643e290-043f-4e80-acb2-188753329234","a8c6db5b-0aed-479c-b117-e28f49e9da1a","CH4","1","0303284b-33a3-4c9f-b5ab-5ab9540296c2","a8c6db5b-0aed-479c-b117-e28f49e9da1a","1",NULL,"","2024-10-23 18:32:30.357","2024-10-23 18:32:30.357","I.8.1","CH4",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"1d582901-0efe-4099-97cf-d1b26bd8b0ac",NULL,"76e10f71-61eb-4453-a903-aa2ec3c4fb45",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:13:06.067","2024-10-23 18:13:06.083","6251964",100,"{""ch4_amount"": 1, ""co2_amount"": 6251671, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""manufacturing-and-construction-type"": ""type-manufacturing-industries-and-construction"", ""manufacturing-and-construction-fuel-type"": ""fuel-type-all""}","76e10f71-61eb-4453-a903-aa2ec3c4fb45",NULL,NULL,"6251964","7752e771-bd0f-35ee-b016-c592c6d52338","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:13:06.062","2024-10-23 18:13:06.073",NULL,100,"I.3.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","8de1d11d-4146-35f3-a973-e66930e68a50","direct-measure","173fdb30-57c4-4293-a4f6-398bf00f6d84","76e10f71-61eb-4453-a903-aa2ec3c4fb45","69ba96fc-01dc-4b29-a41e-6bd421bacbc4","N2O","1","1d582901-0efe-4099-97cf-d1b26bd8b0ac","69ba96fc-01dc-4b29-a41e-6bd421bacbc4","1",NULL,"","2024-10-23 18:13:06.097","2024-10-23 18:13:06.097","I.3.1","N2O",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"1d582901-0efe-4099-97cf-d1b26bd8b0ac",NULL,"76e10f71-61eb-4453-a903-aa2ec3c4fb45",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:13:06.067","2024-10-23 18:13:06.083","6251964",100,"{""ch4_amount"": 1, ""co2_amount"": 6251671, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""manufacturing-and-construction-type"": ""type-manufacturing-industries-and-construction"", ""manufacturing-and-construction-fuel-type"": ""fuel-type-all""}","76e10f71-61eb-4453-a903-aa2ec3c4fb45",NULL,NULL,"6251964","7752e771-bd0f-35ee-b016-c592c6d52338","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:13:06.062","2024-10-23 18:13:06.073",NULL,100,"I.3.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","8de1d11d-4146-35f3-a973-e66930e68a50","direct-measure","a354a8af-fee9-4ebf-a1de-60624fdde2a4","76e10f71-61eb-4453-a903-aa2ec3c4fb45","3cdc1943-085e-4732-bb38-09cb28afb43a","CO2","6251671","1d582901-0efe-4099-97cf-d1b26bd8b0ac","3cdc1943-085e-4732-bb38-09cb28afb43a","6251671",NULL,"","2024-10-23 18:13:06.09","2024-10-23 18:13:06.09","I.3.1","CO2",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"1d582901-0efe-4099-97cf-d1b26bd8b0ac",NULL,"76e10f71-61eb-4453-a903-aa2ec3c4fb45",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:13:06.067","2024-10-23 18:13:06.083","6251964",100,"{""ch4_amount"": 1, ""co2_amount"": 6251671, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""manufacturing-and-construction-type"": ""type-manufacturing-industries-and-construction"", ""manufacturing-and-construction-fuel-type"": ""fuel-type-all""}","76e10f71-61eb-4453-a903-aa2ec3c4fb45",NULL,NULL,"6251964","7752e771-bd0f-35ee-b016-c592c6d52338","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:13:06.062","2024-10-23 18:13:06.073",NULL,100,"I.3.1","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","8de1d11d-4146-35f3-a973-e66930e68a50","direct-measure","a4b07776-2327-4c8e-9a30-e1b53180773b","76e10f71-61eb-4453-a903-aa2ec3c4fb45","6b4d518d-8f27-435f-95a8-e682f4516446","CH4","1","1d582901-0efe-4099-97cf-d1b26bd8b0ac","6b4d518d-8f27-435f-95a8-e682f4516446","1",NULL,"","2024-10-23 18:13:06.085","2024-10-23 18:13:06.085","I.3.1","CH4",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"1d6e9227-74a7-420c-a0ab-ffa8643a5b73",NULL,"3f1fb002-6f3f-4003-a013-902418cd2b03",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:36:35.33","2024-10-23 18:36:35.337","3494569",100,"{""ch4_amount"": 1, ""co2_amount"": 3494276, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""on-road-transport-fuel-type"": ""fuel-type-all"", ""on-road-transport-vehicle-type"": [""vehicle-type-passenger-vehicles"", ""vehicle-type-commercial-vehicles"", ""vehicle-type-public-transport-vehicles"", ""vehicle-type-service-vehicles"", ""vehicle-type-emergency-vehicles""]}","3f1fb002-6f3f-4003-a013-902418cd2b03",NULL,NULL,"3494569","064d8e7c-cddb-3766-8c70-579a1908c866","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:36:35.327","2024-10-23 18:36:35.334",NULL,100,"II.1.1","73eb7b71-159c-3eda-b7fc-f6eb53754dc3","","","48fcfadb-90ed-34aa-80d9-fa31a90bef80","direct-measure","f496dff6-2c1a-4dd4-b188-ab932b9277f1","3f1fb002-6f3f-4003-a013-902418cd2b03","96e46bea-d22e-4b68-8276-2b948a6e477b","CH4","1","1d6e9227-74a7-420c-a0ab-ffa8643a5b73","96e46bea-d22e-4b68-8276-2b948a6e477b","1",NULL,"","2024-10-23 18:36:35.338","2024-10-23 18:36:35.338","II.1.1","CH4",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"1d6e9227-74a7-420c-a0ab-ffa8643a5b73",NULL,"3f1fb002-6f3f-4003-a013-902418cd2b03",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:36:35.33","2024-10-23 18:36:35.337","3494569",100,"{""ch4_amount"": 1, ""co2_amount"": 3494276, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""on-road-transport-fuel-type"": ""fuel-type-all"", ""on-road-transport-vehicle-type"": [""vehicle-type-passenger-vehicles"", ""vehicle-type-commercial-vehicles"", ""vehicle-type-public-transport-vehicles"", ""vehicle-type-service-vehicles"", ""vehicle-type-emergency-vehicles""]}","3f1fb002-6f3f-4003-a013-902418cd2b03",NULL,NULL,"3494569","064d8e7c-cddb-3766-8c70-579a1908c866","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:36:35.327","2024-10-23 18:36:35.334",NULL,100,"II.1.1","73eb7b71-159c-3eda-b7fc-f6eb53754dc3","","","48fcfadb-90ed-34aa-80d9-fa31a90bef80","direct-measure","15900649-7955-4dbd-a9ef-00aaf65eb003","3f1fb002-6f3f-4003-a013-902418cd2b03","051466cb-052d-415b-bfc2-b1916c6ba1bc","CO2","3494276","1d6e9227-74a7-420c-a0ab-ffa8643a5b73","051466cb-052d-415b-bfc2-b1916c6ba1bc","3494276",NULL,"","2024-10-23 18:36:35.342","2024-10-23 18:36:35.342","II.1.1","CO2",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"1d6e9227-74a7-420c-a0ab-ffa8643a5b73",NULL,"3f1fb002-6f3f-4003-a013-902418cd2b03",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:36:35.33","2024-10-23 18:36:35.337","3494569",100,"{""ch4_amount"": 1, ""co2_amount"": 3494276, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""on-road-transport-fuel-type"": ""fuel-type-all"", ""on-road-transport-vehicle-type"": [""vehicle-type-passenger-vehicles"", ""vehicle-type-commercial-vehicles"", ""vehicle-type-public-transport-vehicles"", ""vehicle-type-service-vehicles"", ""vehicle-type-emergency-vehicles""]}","3f1fb002-6f3f-4003-a013-902418cd2b03",NULL,NULL,"3494569","064d8e7c-cddb-3766-8c70-579a1908c866","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:36:35.327","2024-10-23 18:36:35.334",NULL,100,"II.1.1","73eb7b71-159c-3eda-b7fc-f6eb53754dc3","","","48fcfadb-90ed-34aa-80d9-fa31a90bef80","direct-measure","376bb63b-bbe4-4dce-aed5-984f96a05341","3f1fb002-6f3f-4003-a013-902418cd2b03","0e92417b-b281-4e6c-b472-d24b4275784e","N2O","1","1d6e9227-74a7-420c-a0ab-ffa8643a5b73","0e92417b-b281-4e6c-b472-d24b4275784e","1",NULL,"","2024-10-23 18:36:35.345","2024-10-23 18:36:35.345","II.1.1","N2O",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
"2f12622b-b2fb-4891-85a0-b0fe63f5d805",NULL,"cd824497-57d4-48bc-8542-adcbdacab042",NULL,"{""activityId"": null, ""dataQuality"": ""high"", ""activityTitle"": """", ""sourceExplanation"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""emissionFactorType"": """"}","2024-10-23 18:29:21.959","2024-10-23 18:29:21.964","238485",100,"{""ch4_amount"": 1, ""co2_amount"": 238192, ""n2o_amount"": 1, ""data-source"": ""Rio de Janeiro's 2020 Inventory CIRIS File"", ""non-specific-sources-type"": ""type-stationary"", ""non-specific-sources-energy-usage"": ""energy-usage-electricity""}","cd824497-57d4-48bc-8542-adcbdacab042",NULL,NULL,"238485","75ca6ffd-7696-31b8-961a-45fa54ba970f","9a73042e-bad8-4224-9f58-6e4abe25767b","2024-10-23 18:29:21.957","2024-10-23 18:29:21.962",NULL,100,"I.6.2","5da765a9-1ca6-37e1-bcd6-7b387f909a4e","","","cfc4d8de-2b90-376c-b9d7-446aaf2d8eeb","direct-measure","9e01bb3b-8ed9-47ca-8185-cd3cec519395","cd824497-57d4-48bc-8542-adcbdacab042","982719da-f6e5-4e2c-b4d3-348af81ab763","CH4","1","2f12622b-b2fb-4891-85a0-b0fe63f5d805","982719da-f6e5-4e2c-b4d3-348af81ab763","1",NULL,"","2024-10-23 18:29:21.965","2024-10-23 18:29:21.965","I.6.2","CH4",NULL,NULL,NULL,"9a73042e-bad8-4224-9f58-6e4abe25767b",NULL,NULL,NULL,NULL,NULL
