"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity type","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","CO2 Emissions","CH4 Emissions","N2O Emissions","Data source ID","Data source name"
"58a9822a-fae0-3831-9f8b-4ec1fb48a54f","I.1.1","Residential buildings",,"52287.598","t CO2e",,"0",,,,,"kg/m3","51980188","24920","282490","06b23117-4890-4467-a740-b7099675413b","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"6cf6f15d-536a-37dc-90c7-7d7ea75b5d01","I.1.2","Residential buildings",,"17434.399","t CO2e",,,,,,,,,,,"810d6eef-7b15-4110-85de-566fdd72ae8e","Empresa de Pesquisa Energética"
"N/A","I.1.3","Residential buildings","RN",,"t CO2e",,,,,,,,,,,,
"942f2e36-ab1f-3fbf-af9e-31d997f518c7","I.2.1","Commercial and institutional buildings and facilities",,"9554.861","t CO2e",,"0",,,,,"kg/m3","9508106","4620","42135","bfe11415-e453-4a46-b238-3836cfcb52a7","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"94bd54aa-01e7-3a2f-a1c1-a49121d8dcea","I.2.2","Commercial and institutional buildings and facilities",,"16301.601","t CO2e",,,,,,,,,,,"d187ac96-1b4e-4b44-91d1-a80f6570c9ef","Empresa de Pesquisa Energética"
"N/A","I.2.3","Commercial and institutional buildings and facilities","RN",,"t CO2e",,,,,,,,,,,,
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"900.988","t CO2e",,"0",,,,,"kg/m3","894766","392","5830","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"9849.419","t CO2e",,"0",,,,,"kg/m3","9730763","5236","113420","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"24.381","t CO2e",,"0",,,,,"kg/m3","24381",,,"7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"290.638","t CO2e",,"0",,,,,"kg/m3","289703","140","795","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"1907.388","t CO2e",,"0",,,,,"kg/m3","1905753","840","795","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"6371.386","t CO2e",,"0",,,,,"kg/m3","6344372","3164","23850","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"679.671","t CO2e",,"0",,,,,"kg/m3","677325","756","1590","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"1371.322","t CO2e",,"0",,,,,"kg/m3","1365029","728","5565","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"59e74d03-a234-38a3-9d8f-a13e8b424167","I.3.2","Manufacturing industries and construction",,"34134.115","t CO2e",,,,,,,,,,,"5d120586-9eca-4ca9-8c5e-e7c2f04c129c","Empresa de Pesquisa Energética"
"N/A","I.3.3","Manufacturing industries and construction","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.4.1","Energy industries","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.4.2","Energy industries","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.4.3","Energy industries","RN",,"t CO2e",,,,,,,,,,,,
"c7025070-1f90-3034-b366-6ec4ac178666","I.5.1","Agriculture, forestry and fishing activities",,"327.709","t CO2e",,"0",,,,,"kg/m3","326481","168","1060","0352419c-103e-446c-9b68-5b87fc72b443","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.5.3","Agriculture, forestry and fishing activities","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.6.1","Non-specified sources","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.6.2","Non-specified sources","RN",,"t CO2e",,,,,,,,,,,,
