"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity type","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","CO2 Emissions","CH4 Emissions","N2O Emissions","Data source ID","Data source name"
"58a9822a-fae0-3831-9f8b-4ec1fb48a54f","I.1.1","Residential buildings",,"5583.629","t CO2e",,,,,,,"kg/m3","5550759","2660","30210","45196fcf-eb15-4037-b763-33e4d33f04d6","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"6cf6f15d-536a-37dc-90c7-7d7ea75b5d01","I.1.2","Residential buildings",,"2332.584","t CO2e",,,,,,,"kg/TJ","2332584",,,"810d6eef-7b15-4110-85de-566fdd72ae8e","Empresa de Pesquisa Energética"
"2badf7fe-aa9c-357d-888e-7ac8b7979a50","I.1.3","Residential buildings",,"36.784","t CO2e",,,,,,,"kg/TJ","36784",,,"68b94c84-eda6-4cff-8044-a5f7046bb995","Empresa de Pesquisa Energética"
"942f2e36-ab1f-3fbf-af9e-31d997f518c7","I.2.1","Commercial and institutional buildings and facilities",,"0.167","t CO2e",,,,,,,"kg/m3","167",,,"54e965a4-3bd0-4f6a-a425-e843bb955712","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"942f2e36-ab1f-3fbf-af9e-31d997f518c7","I.2.1","Commercial and institutional buildings and facilities",,"0.141","t CO2e",,,,,,,"kg/m3","141",,,"54e965a4-3bd0-4f6a-a425-e843bb955712","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"94bd54aa-01e7-3a2f-a1c1-a49121d8dcea","I.2.2","Commercial and institutional buildings and facilities",,"1229.202","t CO2e",,,,,,,"kg/TJ","1229202",,,"d187ac96-1b4e-4b44-91d1-a80f6570c9ef","Empresa de Pesquisa Energética"
"32db3fd4-66f9-3d29-8cdd-9de719d3cdb7","I.2.3","Commercial and institutional buildings and facilities",,"19.384","t CO2e",,,,,,,"kg/TJ","19384",,,"d7b00ee7-3432-49b0-8c17-c7dbb29722d6","Empresa de Pesquisa Energética"
"N/A","I.3.1","Manufacturing industries and construction","RN",,"t CO2e",,,,,,,,,,,,
"59e74d03-a234-38a3-9d8f-a13e8b424167","I.3.2","Manufacturing industries and construction",,"182.286","t CO2e",,,,,,,"kg/TJ","182286",,,"5d120586-9eca-4ca9-8c5e-e7c2f04c129c","Empresa de Pesquisa Energética"
"3ebc2363-43e5-3c1c-8270-dd6e5d823388","I.3.3","Manufacturing industries and construction",,"2.874","t CO2e",,,,,,,"kg/TJ","2874",,,"9a8a6068-85eb-4cc5-9b14-2315e608b84e","Empresa de Pesquisa Energética"
"N/A","I.4.1","Energy industries","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.4.2","Energy industries","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.4.3","Energy industries","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.5.1","Agriculture, forestry and fishing activities","RN",,"t CO2e",,,,,,,,,,,,
"25d0ad43-454f-34c2-ae83-03c095069891","I.5.2","Agriculture, forestry and fishing activities",,"173.726","t CO2e",,,,,,,"kg/TJ","173726",,,"b29e69d0-679a-4922-9745-8102c10bcbc0","Empresa de Pesquisa Energética"
"0f145a59-f3e3-3739-a970-9686e968e2b2","I.5.3","Agriculture, forestry and fishing activities",,"2.739","t CO2e",,,,,,,"kg/TJ","2739",,,"6b7695bf-b321-412b-b873-17c2b979c9cb","Empresa de Pesquisa Energética"
"N/A","I.6.1","Non-specified sources","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.6.2","Non-specified sources","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.6.3","Non-specified sources","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.7.1","Fugitive emissions from mining, processing, storage, and transportation of coal","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.8.1","Fugitive emissions from oil and natural gas systems","RN",,"t CO2e",,,,,,,,,,,,
"064d8e7c-cddb-3766-8c70-579a1908c866","II.1.1","On-road transportation",,"18248.693","t CO2e",,,,,,,"kg/m3","17568685","71568","608440","567bcd46-f6c4-499f-9597-6240592c1e35","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"064d8e7c-cddb-3766-8c70-579a1908c866","II.1.1","On-road transportation",,"11847.522","t CO2e",,,,,,,"kg/m3","11622422","19460","205640","567bcd46-f6c4-499f-9597-6240592c1e35","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","II.1.2","On-road transportation","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.1.3","On-road transportation","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.2.1","Railways","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.2.2","Railways","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.2.3","Railways","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.3.1","Waterborne navigation","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.3.2","Waterborne navigation","RN",,"t CO2e",,,,,,,,,,,,
"320d7a15-59a9-351c-b7c3-c8053e63b8b1","II.3.3","Waterborne navigation",,"550.198","t CO2e",,,,,,,"kg/TJ","544795","1428","3975","0f5e1940-2e66-4ffd-a0f2-d90ad300ab62","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","II.4.1","Aviation","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.4.2","Aviation","RN",,"t CO2e",,,,,,,,,,,,
"ce889acf-9acd-3498-965a-3d4e5c88f57e","II.4.3","Aviation",,"1815.716","t CO2e",,,,,,,"kg/TJ","1798938","3528","13250","60ca4997-51a3-43de-9caa-ce5ec0d1ab19","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","II.5.1","Off-road transportation","RN",,"t CO2e",,,,,,,,,,,,
"N/A","II.5.2","Off-road transportation","RN",,"t CO2e",,,,,,,,,,,,
"d4fc29ec-a073-34fb-abdb-3c27066451f3","III.1.1","Solid waste disposal",,"41580","t CO2e",,,,,,,,,"41580000",,"df49b122-7b26-4fd7-ba97-83a2be9ac796","SINIR"
"N/A","III.1.2","Solid waste disposal","RN",,"t CO2e",,,,,,,,,,,,
"N/A","III.2.1","Biological treatment of waste","RN",,"t CO2e",,,,,,,,,,,,
"N/A","III.2.2","Biological treatment of waste","RN",,"t CO2e",,,,,,,,,,,,
"N/A","III.3.1","Incineration and open burning","RN",,"t CO2e",,,,,,,,,,,,
"N/A","III.3.2","Incineration and open burning","RN",,"t CO2e",,,,,,,,,,,,
"e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b","III.4.1","Wastewater treatment and discharge",,"7931","t CO2e","Domestic wastewater",,,"0","217","7",,"0","6076000","1855000",,"OEF"
"N/A","III.4.2","Wastewater treatment and discharge","RN",,"t CO2e",,,,,,,,,,,,
"N/A","IV.1","Emissions from industrial processes occurring within the city boundary","RN",,"t CO2e",,,,,,,,,,,,
"N/A","IV.2","Emissions from product use occurring within the city boundary","RN",,"t CO2e",,,,,,,,,,,,
"N/A","V.1","Emissions from livestock within the city boundary",,"93967.86","t CO2e",,,,,,,,,"93967860",,"3da1a62f-8cff-464b-bd5e-af70213f22c8","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.1","Emissions from livestock within the city boundary",,"3751.312","t CO2e",,,,,,,,,"3517052","234260","3da1a62f-8cff-464b-bd5e-af70213f22c8","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"1545.918","t CO2e",,,,,,,,,"1541148","4770","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"95311","t CO2e",,,,,,,,"95311000",,,"56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"71288","t CO2e",,,,,,,,"71288000",,,"56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"470","t CO2e",,,,,,,,"470000",,,"56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"1257.321","t CO2e",,,,,,,,,"1255996","1325","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"5691","t CO2e",,,,,,,,"5691000",,,"56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"166.685","t CO2e",,,,,,,,,,"166685","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"3045.645","t CO2e",,,,,,,,,,"3045645","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"68.591","t CO2e",,,,,,,,"68591",,,"0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"17007.965","t CO2e",,,,,,,,,,"17007965","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"225.78","t CO2e",,,,,,,,,,"225780","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
