"locode","city_name","region_code","region_name","area_km2","main_biome","all_biomes","population_category","population_score","population_density_category","population_density_score","income_category","income_score","inadequate_water_access_category","inadequate_water_access_score","inadequate_sanitation_category","inadequate_sanitation_score"
"BR ACZ","Aracruz","ES","Espírito Santo","2892","Atlantic Forest","Atlantic Forest","very high","94765","high","66.72","very low","3.85","low","8.66","low","9.91"
"BR ARC","Arapiraca","AL","Alagoas","690","Caatinga","Caatinga, Atlantic Forest","very high","234696","very high","678.99","moderate","11.70","moderate","16.16","high","54.78"
"BR ATB","Abaetetuba","PA","Pará","5779","Amazon rainforest","Amazon rainforest","very high","158188","very high","98.21","high","16.06","very high","78.31","moderate","39.84"
"BR ATM","Altamira","PA","Pará","747301","Amazon rainforest","Amazon rainforest","very high","126279","very low","0.79","moderate","8.10","very high","44.28","moderate","28.39"
"BR BVB","Boa Vista","RR","Roraima","48541","Amazon rainforest","Amazon rainforest","very high","413486","very high","72.71","low","4.30","very low","5.20","low","11.10"
"BR CAJ","Cajazeiras","PB","Paraíba","1222","Caatinga","Caatinga","very high","63239","very high","112.38","high","13.05","moderate","15.35","low","20.12"
"BR CAT","Crato","CE","Ceará","2558","Caatinga","Caatinga","very high","131050","very high","115.14","high","12.47","low","7.40","moderate","22.47"
"BR CBA","Cuiabá","MT","Mato Grosso","18186","Cerrado","Cerrado","very high","650877","very high","150.41","very low","1.82","very low","3.88","low","9.33"
"BR CCX","Cáceres","MT","Mato Grosso","110567","Pantanal","Amazon rainforest, Cerrado, Pantanal","very high","89681","very low","3.66","low","4.74","moderate","18.60","moderate","33.96"
"BR CCY","Caracaraí","RR","Roraima","448504","Amazon rainforest","Amazon rainforest","high","20957","very low","0.44","moderate","7.81","high","34.78","moderate","32.46"
"BR CGE","Contagem","MG","Minas Gerais","450","Cerrado","Cerrado, Atlantic Forest","very high","621863","very high","3193.20","very low","2.08","very low","0.48","very low","2.66"
"BR CGR","Campo Grande","MS","Mato Grosso do Sul","26675","Cerrado","Cerrado","very high","898100","very high","111.11","very low","2.84","very low","2.85","low","10.67"
"BR CII","Cariacica","ES","Espírito Santo","570","Atlantic Forest","Atlantic Forest","very high","353491","very high","1263.74","very low","2.64","very low","1.83","low","8.98"
