formula_input_value,datasource,metadata,gas,parameter_code,parameter_name,year,formula_input_units,region,actor_id,rnk,methodology_name,gpc_refno,formula_name,methodology_id,formulainput_id
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-none', 'treatment-type': 'treatment-type-sea-river-lake-discharge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,7a4b2616-ebe0-4015-a514-b1f98334283a
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-untreated', 'treatment-name': 'treatment-name-sewer', 'treatment-type': 'treatment-type-stagnant-sewer'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,34071e74-2393-4dd2-8437-10e58b54532b
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-septic-system', 'treatment-type': 'treatment-type-septic-system'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,f1a77a0c-5e75-47f1-88a2-cb4b51ecd506
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-dry-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,5339ee32-b610-4646-bb37-10c18985f680
0.5,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,e01169db-e69c-4efa-89ca-133674c4654b
0.7,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-wet-climate'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,1cd3cb9f-3fe7-4659-bcce-7b6123a51084
0.1,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-latrine', 'treatment-type': 'treatment-type-latrine-sediment-removal'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,54b59f2e-1aba-4652-9b92-9209e7d9b87e
0.3,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': nan}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,02e6586f-0dfa-4eb8-be70-64bc54dac493
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-digester-for-sludge'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,1536d352-5246-43b5-b868-da4fff74d4a1
0.8,C40-CIRIS,"{'treatment-status': 'treatment-status-type-wastewater-treated', 'treatment-name': 'treatment-name-other', 'treatment-type': 'treatment-type-anaerobic-reactor'}",CH4,MCF,methane_conversion_factor,,fraction,world,world,1,wastewater-inside-domestic-calculator-activity,III.4.1,domestic-wastewater,4025beed-cbe5-301d-8cd6-f706531cba42,5a9c6582-04da-4f58-9333-3c2ad73dd81f
