gas,parameter_code,parameter_name,methodology_name,gpc_refno,year,formula_input_value,formula_input_units,formula_name,metadata,region,actor_id,datasource,rnk,methodology_id,formulainput_id
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,94.0,13.505,g/person/day,domestic-wastewater,,Region: Africa,LY,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,f67b1cb5-24d0-4f89-a34b-009f88e22c08
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,94.0,13.505,g/person/day,domestic-wastewater,,Region: Africa,MA,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,620dfc30-774a-4b59-b1fe-2a9034ee5683
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,94.0,13.505,g/person/day,domestic-wastewater,,Region: Africa,SD,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,f9b50987-a3d4-49ea-9fe5-daf399c1c4d7
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,94.0,13.505,g/person/day,domestic-wastewater,,Region: Africa,ST,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,f6abd2a4-848f-4c09-bc56-e9768baafa40
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,94.0,13.505,g/person/day,domestic-wastewater,,Region: Africa,TZ,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,dd149178-2112-4b79-8293-f44cdcc04c5c
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14.0,34.0,g/person/day,domestic-wastewater,,India,IN,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,072dd634-3d29-4b90-9c44-a942f5b2df6c
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14.0,37.0,g/person/day,domestic-wastewater,,Africa,KM,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,ee70fd30-d209-4bc5-b4db-1fd390f83f5a
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14.0,37.0,g/person/day,domestic-wastewater,,Africa,MA,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,7d347204-b7d3-4978-b2b4-fd0c55acff75
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14.0,37.0,g/person/day,domestic-wastewater,,Africa,SD,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,7eb9f336-22f1-4146-997a-5b61118d4ced
CH4,BOD,degradable-organic-component,wastewater-inside-domestic-calculator-activity,III.4.1,14.0,37.0,g/person/day,domestic-wastewater,,Africa,TG,IPCC,1,4025beed-cbe5-301d-8cd6-f706531cba42,24714720-5f28-4e5b-adcb-c8fea90a249a
