trace_id,request_time_utc,environment,run_id,trace_name,classification,state,duration_ms,models,span_count,model_span_count,tool_spans,input_tokens,output_tokens,run_status,application_ok,history_saved,run_url
tr-4e29c721feec07012e87a4af678a3ae6,2026-09-08T09:53:58.763Z,dev,75c6321d7e8e4d0dbe597993120221f4,Climate Advisor Conversation,trace tags + source run,OK,8452,openai/gpt-5.6-luna,3,2,,5677,282,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/75c6321d7e8e4d0dbe597993120221f4
tr-65e579a68e3222c9e024416f5d50f7a7,2026-09-07T14:12:35.658Z,local-david,ae5758c4a0744f77bf436b0dcba0a35b,Climate Advisor Conversation,trace tags + source run,OK,11418,openai/gpt-5.6-luna,6,3,native_input_discover;native_input_read,10824,169,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/ae5758c4a0744f77bf436b0dcba0a35b
tr-e00ff53d8023a46c149bf8754865a96c,2026-09-07T14:12:01.096Z,local-david,4ba66fef71774d5fab6c455b9b913785,Climate Advisor Conversation,trace tags + source run,OK,15576,openai/gpt-5.6-luna,7,3,inventory_list_accessible;get_all_datasources;inventory_status_overview,8180,260,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/4ba66fef71774d5fab6c455b9b913785
tr-9aea010617a374b2e6e22f2eb8c4c520,2026-09-07T14:00:19.257Z,local-david,e1c33abc7ff2440b9a5f8b06cd549f88,Climate Advisor Conversation,trace tags + source run,OK,28834,openai/gpt-5.6-luna,10,5,native_input_discover;native_input_read;inventory_list_accessible;inventory_status_overview,13499,277,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/e1c33abc7ff2440b9a5f8b06cd549f88
tr-7934075932e09ef6081fed5ddb15f7f4,2026-09-07T13:58:51.035Z,local-david,8b78403cdef04e8c98054f88c5991b7f,Climate Advisor Conversation,trace tags + source run,OK,11909,openai/gpt-5.6-luna,8,4,native_input_discover;inventory_list_accessible;inventory_status_overview,10536,218,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/8b78403cdef04e8c98054f88c5991b7f
tr-4bb94c987a104d91f1af1c4ac3bf1bf1,2026-09-07T12:47:43.435Z,dev,6f873e8649834712ad7dfabe818dd72d,Climate Advisor Conversation,trace tags + source run,OK,8433,openai/gpt-5.6-luna,3,2,,5670,300,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/6f873e8649834712ad7dfabe818dd72d
tr-16a03c9bc77da1b9ea6b93a7c6789c1b,2026-09-06T18:30:20.509Z,local-david,2686c47951154713878f3e6e5bddf3aa,Climate Advisor Conversation,trace tags + source run,OK,7616,openai/gpt-5.6-luna,6,3,native_input_discover;native_input_read,7665,81,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/2686c47951154713878f3e6e5bddf3aa
tr-30440e67707c23a1f89d13961176848d,2026-09-04T12:57:12.506Z,test,57e423b51f1d4eb7ad8b9310a5b2a736,AsyncCompletions,source run tags,OK,616,openai/gpt-5.4-mini,1,1,,3659,19,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/57e423b51f1d4eb7ad8b9310a5b2a736
tr-832e67e7251b5f95a48448461b056dcb,2026-09-04T12:57:02.962Z,test,0c709c3fb24c4f8eacc027ca8a6a7ebd,AsyncCompletions,source run tags,OK,1899,openai/gpt-5.4-mini,1,1,,3471,131,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/0c709c3fb24c4f8eacc027ca8a6a7ebd
tr-e68d8dee900c00fa22a4471a0a49f9c6,2026-09-04T12:57:00.304Z,test,0c709c3fb24c4f8eacc027ca8a6a7ebd,AsyncCompletions,source run tags,OK,1555,openai/gpt-5.4-mini,1,1,,2203,39,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/0c709c3fb24c4f8eacc027ca8a6a7ebd
tr-87dc1c9345f01f6607e1eb9e13c606cc,2026-09-04T12:56:43.181Z,test,9b52f9256297413b84813f6eb4444e6a,AsyncCompletions,source run tags,OK,2016,openai/gpt-5.4-mini,1,1,,3483,176,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/9b52f9256297413b84813f6eb4444e6a
tr-5f40109a6ba9e9ea6d7979a3e6f37554,2026-09-04T12:56:38.519Z,test,9b52f9256297413b84813f6eb4444e6a,AsyncCompletions,source run tags,OK,2168,openai/gpt-5.4-mini,1,1,,2203,51,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/9b52f9256297413b84813f6eb4444e6a
tr-2b680bfba11f6ada260c42e534fdc0e0,2026-09-04T12:19:41.520Z,dev,233ef3a2a0c54fadbd3ceace88c6c47b,Climate Advisor Conversation,trace tags + source run,OK,6165,openai/gpt-5.6-luna,3,2,,5777,226,FINISHED,1.0,1.0,https://mlflow-dev.openearth.dev/#/experiments/4/runs/233ef3a2a0c54fadbd3ceace88c6c47b
