"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","Datasource ID","DataSource name"
"58a9822a-fae0-3831-9f8b-4ec1fb48a54f","I.1.1","Residential buildings",,"7417.144","t CO2e",,,,,,,"45196fcf-eb15-4037-b763-33e4d33f04d6","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"6cf6f15d-536a-37dc-90c7-7d7ea75b5d01","I.1.2","Residential buildings",,"3194.63","t CO2e",,,,,,,"810d6eef-7b15-4110-85de-566fdd72ae8e","Empresa de Pesquisa Energética"
"2badf7fe-aa9c-357d-888e-7ac8b7979a50","I.1.3","Residential buildings",,"50.379","t CO2e",,,,,,,"68b94c84-eda6-4cff-8044-a5f7046bb995","Empresa de Pesquisa Energética"
"N/A","I.2.1","Commercial and institutional buildings and facilities","NE",,"t CO2e",,,,,,,,
"94bd54aa-01e7-3a2f-a1c1-a49121d8dcea","I.2.2","Commercial and institutional buildings and facilities",,"831.136","t CO2e",,,,,,,"d187ac96-1b4e-4b44-91d1-a80f6570c9ef","Empresa de Pesquisa Energética"
"32db3fd4-66f9-3d29-8cdd-9de719d3cdb7","I.2.3","Commercial and institutional buildings and facilities",,"13.107","t CO2e",,,,,,,"d7b00ee7-3432-49b0-8c17-c7dbb29722d6","Empresa de Pesquisa Energética"
"N/A","I.3.1","Manufacturing industries and construction","NE",,"t CO2e",,,,,,,,
"59e74d03-a234-38a3-9d8f-a13e8b424167","I.3.2","Manufacturing industries and construction",,"222.716","t CO2e",,,,,,,"5d120586-9eca-4ca9-8c5e-e7c2f04c129c","Empresa de Pesquisa Energética"
"3ebc2363-43e5-3c1c-8270-dd6e5d823388","I.3.3","Manufacturing industries and construction",,"3.512","t CO2e",,,,,,,"9a8a6068-85eb-4cc5-9b14-2315e608b84e","Empresa de Pesquisa Energética"
"N/A","I.4.1","Energy industries","NO",,"t CO2e",,,,,,,,
"N/A","I.4.2","Energy industries","NO",,"t CO2e",,,,,,,,
"N/A","I.4.3","Energy industries","NO",,"t CO2e",,,,,,,,
"06922c49-a18e-3b86-a947-2dc833aec949","I.4.4","Energy industries",,"61360.381","t CO2e",,,,,,,"124a1f4b-13fd-439b-9175-a8c40cc36e79","International Energy Agency"
"N/A","I.5.1","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,
