"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity type","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","CO2 Emissions","CH4 Emissions","N2O Emissions","Datasource ID","DataSource name"
"N/A","I.1.3","Residential buildings","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.2.3","Commercial and institutional buildings and facilities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.3.3","Manufacturing industries and construction","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.1","Energy industries","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.2","Energy industries","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.3","Energy industries","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.5.1","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.5.3","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.1","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.2","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.3","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.7.1","Fugitive emissions from mining, processing, storage, and transportation of coal","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.8.1","Fugitive emissions from oil and natural gas systems","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.1.2","On-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.1.3","On-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.2","Railways","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.3","Railways","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.2","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.3","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.4.2","Aviation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.4.3","Aviation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.5.1","Off-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.5.2","Off-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"d4fc29ec-a073-34fb-abdb-3c27066451f3","III.1.1","Solid waste disposal",,"445.737","t CO2e",,,,,,,,"0","445732","0","df49b122-7b26-4fd7-ba97-83a2be9ac796","SINIR"
"d4fc29ec-a073-34fb-abdb-3c27066451f3","III.1.1","Solid waste disposal",,"23580.748","t CO2e",,,,,,,,"0","23580732","0","df49b122-7b26-4fd7-ba97-83a2be9ac796","SINIR"
"N/A","III.1.3","Solid waste disposal","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.2.1","Biological treatment of waste","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.2.3","Biological treatment of waste","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.3.1","Incineration and open burning","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.3.3","Incineration and open burning","NO",,"t CO2e",,,,,,,,"0","0","0",,
"e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b","III.4.1","Wastewater treatment and discharge",,"7947.043","t CO2e",,,,,,,,"0","6062364","1884415","b7aa7f41-37a1-468e-9394-fc0b421964de","SNIS"
"N/A","III.4.2","Wastewater treatment and discharge","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.4.3","Wastewater treatment and discharge","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","IV.1","Emissions from industrial processes occurring within the city boundary",,"303798.159","t CO2e",,,,,,,,"303798159","0","0","be2ec3ba-10cc-4cad-b48b-33045d053de0","ClimateTRACE"
