"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity type","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","CO2 Emissions","CH4 Emissions","N2O Emissions","Datasource ID","DataSource name"
"58a9822a-fae0-3831-9f8b-4ec1fb48a54f","I.1.1","Residential buildings",,"12334.182","t CO2e",,,,,,,"kg/m3","12261257","5880","67045","45196fcf-eb15-4037-b763-33e4d33f04d6","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.1.2","Residential buildings","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.1.3","Residential buildings","NE",,"t CO2e",,,,,,,,"0","0","0",,
"942f2e36-ab1f-3fbf-af9e-31d997f518c7","I.2.1","Commercial and institutional buildings and facilities",,"0.273","t CO2e",,,,,,,"kg/m3","273","0","0","54e965a4-3bd0-4f6a-a425-e843bb955712","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"942f2e36-ab1f-3fbf-af9e-31d997f518c7","I.2.1","Commercial and institutional buildings and facilities",,"122.576","t CO2e",,,,,,,"kg/m3","121990","56","530","54e965a4-3bd0-4f6a-a425-e843bb955712","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.2.2","Commercial and institutional buildings and facilities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.2.3","Commercial and institutional buildings and facilities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"98.023","t CO2e",,,,,,,"kg/m3","97646","112","265","31a76645-f430-4695-a431-c173dae1d224","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"1387.437","t CO2e",,,,,,,"kg/m3","1382870","1652","2915","31a76645-f430-4695-a431-c173dae1d224","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"38.843","t CO2e",,,,,,,"kg/m3","38787","56","0","31a76645-f430-4695-a431-c173dae1d224","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.3.2","Manufacturing industries and construction","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.3.3","Manufacturing industries and construction","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.1","Energy industries","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.2","Energy industries","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.4.3","Energy industries","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.5.1","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.5.2","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.5.3","Agriculture, forestry and fishing activities","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.1","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.2","Non-specified sources","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.6.3","Non-specified sources","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.7.1","Fugitive emissions from mining, processing, storage, and transportation of coal","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","I.8.1","Fugitive emissions from oil and natural gas systems","NE",,"t CO2e",,,,,,,,"0","0","0",,
"064d8e7c-cddb-3766-8c70-579a1908c866","II.1.1","On-road transportation",,"75449.235","t CO2e",,,,,,,"kg/m3","73007898","260652","2180685","567bcd46-f6c4-499f-9597-6240592c1e35","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"064d8e7c-cddb-3766-8c70-579a1908c866","II.1.1","On-road transportation",,"107826.935","t CO2e",,,,,,,"kg/m3","106048811","171164","1606960","567bcd46-f6c4-499f-9597-6240592c1e35","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","II.1.2","On-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.1.3","On-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.1","Railways","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.2","Railways","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.2.3","Railways","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.1","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.2","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.3.3","Waterborne navigation","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.4.1","Aviation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.4.2","Aviation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"ce889acf-9acd-3498-965a-3d4e5c88f57e","II.4.3","Aviation",,"755.615","t CO2e",,,,,,,"kg/TJ","748721","1064","5830","60ca4997-51a3-43de-9caa-ce5ec0d1ab19","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","II.5.1","Off-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","II.5.2","Off-road transportation","NE",,"t CO2e",,,,,,,,"0","0","0",,
"d4fc29ec-a073-34fb-abdb-3c27066451f3","III.1.1","Solid waste disposal",,"30348.138","t CO2e",,,,,,,,"0","30348136","0","df49b122-7b26-4fd7-ba97-83a2be9ac796","SINIR"
"N/A","III.1.3","Solid waste disposal","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.2.1","Biological treatment of waste","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.2.3","Biological treatment of waste","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.3.1","Incineration and open burning","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","III.3.3","Incineration and open burning","NO",,"t CO2e",,,,,,,,"0","0","0",,
"e0ba4eda-8fc4-33e6-beaf-6fc7c8f39e8b","III.4.1","Wastewater treatment and discharge",,"10263.844","t CO2e",,,,,,,,"0","7829752","2434025","b7aa7f41-37a1-468e-9394-fc0b421964de","SNIS"
"N/A","III.4.2","Wastewater treatment and discharge","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","IV.1","Emissions from industrial processes occurring within the city boundary","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","IV.2","Emissions from product use occurring within the city boundary","NO",,"t CO2e",,,,,,,,"0","0","0",,
"N/A","V.1","Emissions from livestock within the city boundary",,"23209.116","t CO2e",,,,,,,,"0","22682296","526820","3da1a62f-8cff-464b-bd5e-af70213f22c8","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.1","Emissions from livestock within the city boundary",,"742901.908","t CO2e",,,,,,,,"0","742901908","0","3da1a62f-8cff-464b-bd5e-af70213f22c8","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"1292.993","t CO2e",,,,,,,,"0","1291668","1325","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"3238.298","t CO2e",,,,,,,,"0","3227168","11130","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"983","t CO2e",,,,,,,,"983000","0","0","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"515927","t CO2e",,,,,,,,"515927000","0","0","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"800","t CO2e",,,,,,,,"800000","0","0","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.2","Emissions from land within the city boundary",,"444390","t CO2e",,,,,,,,"444390000","0","0","56578539-5606-4fd7-88da-20a87b730af0","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"1092.065","t CO2e",,,,,,,,"0","0","1092065","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"431.155","t CO2e",,,,,,,,"0","0","431155","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"17494.24","t CO2e",,,,,,,,"0","0","17494240","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"385.246","t CO2e",,,,,,,,"57176","0","328070","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"117738.44","t CO2e",,,,,,,,"0","0","117738440","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","V.3","Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary",,"111.483","t CO2e",,,,,,,,"111483","0","0","0891f485-942c-44f8-a398-09b9d050dabc","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
