id,actor_id,year,sector,gpc_refno,gas,emissions_quantity,units
dbaaf612-1bf6-3c65-8190-f50be1899ae0,AE AUH,2019,Residential,I.1.1,co2,391497468,kg
fcbb7069-9af4-3776-93b4-c126956ea00d,AE AUH,2019,Power,I.4.1,co2,15871169027,kg
7ea26841-1f10-3bbf-9c14-98696125242a,AE AUH,2019,Ground Transport,II.1.1,co2,18040359031,kg
f280a6f5-3c6f-355d-8166-4172bce62c93,AE AUH,2019,Aviation,II.4.1,co2,1701605191,kg
e6e1d134-47c1-36df-a8cd-92d8ce542965,AE AUH,2019,Industry,IV.1,co2,27996324075,kg
41117edf-46d6-31c2-8d19-a6e737bd19c1,AE AUH,2020,Residential,I.1.1,co2,402029050,kg
2513021a-f2c9-3ec0-96db-40cf837787db,AE AUH,2020,Power,I.4.1,co2,15190190722,kg
8e91a84b-c636-3b7a-a9ec-a3af942319b3,AE AUH,2020,Ground Transport,II.1.1,co2,15564185586,kg
5ff3c415-f775-30af-a60c-2388206f8611,AE AUH,2020,Aviation,II.4.1,co2,825480443,kg
26219111-888a-31e7-866f-3f4877403a8e,AE AUH,2020,Industry,IV.1,co2,26035304236,kg
5ceee899-fd82-3f24-ba27-2795ba86d087,AE AUH,2021,Residential,I.1.1,co2,232893805,kg
8808e4ea-c001-36a7-bbaa-9d69498b9ca4,AE AUH,2021,Power,I.4.1,co2,7099300474,kg
4de09e80-8a70-33cd-9521-67e637751fe8,AE AUH,2021,Ground Transport,II.1.1,co2,8368726257,kg
ac9fd286-998f-3b4c-b4d5-bce68c7f9628,AE AUH,2021,Aviation,II.4.1,co2,409035956,kg
d2371ed0-03d5-3e60-96e6-c023300663cd,AE AUH,2021,Industry,IV.1,co2,12551334264,kg
72599679-5a3a-3c39-af1f-be0b480734e7,AR BUE,2019,Residential,I.1.1,co2,9467924983,kg
7cd1d457-b732-3b0e-b89c-e96639987ef9,AR BUE,2019,Power,I.4.1,co2,8171776012,kg
