locode,osmid
AD ALV,R2804753
AD CAN,R2804754
AD EAC,N64954565
AD ENC,R2804755
AD ESC,R2804756
AD LMA,R2804757
AD ORD,R2804758
AD PAS,N64954437
AD SCO,N64954512
AD SJL,R2804759
AE AAN,N82799640
AE AJM,N262479959
AE ALB,R15607818
AE ALQ,W1178795065
AE ALS,W1153975042
AE AMF,W460602562
AE ARZ,W985863448
AE AUH,R4479763
AE DAS,W985863444
AE DBI,W873221058
AE DBP,N8560554403
AE DER,R13542317
AE DHF,W867982977
AE DXB,N31248510
AE HAB,R13251480
AE HAM,R12905786
AE HAT,N8128209859
AE JEA,W874795165
AE KLB,R12482829
AE MAS,N5760879262
AE PRA,W1148760943
AE QIW,N896422314
AE QWE,W360000709
AE RAK,N8143204820
AE REI,R13251324
AE RFA,R11900265
AE RKT,N262479317
AE SHJ,R12905785
AE SIL,R13251518
AE YAS,R13251334
AE ZUR,W985863446
AF BAG,N3558906434
AF BIN,N830011080
AF CCN,N312573218
AF DAZ,N1137329275
AF DHD,W238407559
AF FAH,N312462304
AF FBD,N312586412
AF GRG,W342640046
AF GZI,N312452077
AF HEA,N312432807
AF HRT,N3446336356
AF JAA,R6607907
AF KBL,N21716195
AF KDH,N97993575
AF KHT,N312593138
AF KWH,N1137333457
AF LAG,N312368833
AF LQN,N313319448
AF MEH,N3494730954
AF MMZ,N312575332
AF MZR,R6572774
AF PSD,N4377546729
AF QAM,N3981464557
AF QLT,N2254096718
AF RKH,N8406849734
AF SBF,N7714085459
AF SBK,N3506812407
AF SDD,N315043220
AF SGA,N1137337383
AF TGH,N3456031243
AF TKO,N310090137
AF TQN,N318091652
AF UND,N271741224
AF ZAJ,N312466967
AG ANU,N425746989
AG BBQ,N425746989
AG FAM,N232410904
AG PHM,N232429181
AG SJO,N425746989
AI BLP,N2107882090
AI VAL,N1975586073
AL ARG,R1253930
AL BQE,R1249560
AL BRT,R1252299
AL DRZ,R1249888
AL FIE,R1251513
AL FUS,R1248265
AL GOK,R1253930
AL HMR,R1255539
AL KKU,R1248537
AL KRC,R1252581
AL LUS,R1251494
AL LZE,R1248922
AL MBR,N728423738
AL MIL,R1248938
AL NPP,R1250602
AL SAR,R1255541
AL SHG,R1248917
AL SHK,R1248301
AL SHZ,N728422419
AL TIA,R1250106
AL VOA,R1255543
AL VOR,R1250109
AM A3A,W181873156
AM ABO,R7846009
AM AHU,W1031910053
AM ARA,R7846009
AM ARG,W295466496
AM ARM,R15026668
AM ARV,W148508807
AM ASH,W217929027
AM BRD,W177131869
AM BYU,W899099722
AM DIL,W177131875
AM EVN,R15779475
AM EZN,R7772201
AM GRS,R10248346
AM HRA,R9084333
AM JER,W177199402
AM KJN,W177199863
AM KPN,R7745403
AM LWN,R7814501
AM MMA,W293587531
AM MTR,R15331118
AM RN4,W389022166
AM SPI,W179180211
AM VED,R9330351
AM VZR,R7825883
AO ANL,N668140647
AO ARZ,N331385742
AO AZZ,N2124653703
AO BAB,N2111968665
AO BDD,N1148114086
AO BDT,N8993609623
AO BEL,W283783013
AO BUG,N331385969
AO CAB,N279009752
AO CAV,N561106241
AO CBT,N10977443177
AO CEO,N2129931663
AO CFF,N668026961
AO CNZ,N2052638496
AO CTI,N669003924
AO CUI,N1094768435
AO DGR,N2814839728
AO DRC,N2099521724
AO DUE,N668066114
AO GGC,N2097639559
AO GXG,N668900981
AO JMB,R11162252
AO KNP,N2123967326
AO LAA,N287872025
AO LAD,W693999814
AO LBZ,N668065028
AO LOB,N279010461
AO LUC,N7911300857
AO LUO,N349039206
AO LZM,N701539851
AO MAL,W352835608
AO MDZ,N668899392
AO MEG,N2114881159
AO MLO,N1645785701
AO MOS,N331386368
AO MSZ,N331386368
AO MTL,R11162244
AO NDD,N331385964
AO NDF,N669059480
AO NGV,N331392785
AO NOV,N279010032
AO NQI,N2170811773
AO NTO,N331385742
AO NZA,N2124653729
AO PBN,N352680227
AO PGI,N9709477031
AO PLE,N352755148
AO SDD,R11162239
AO SPP,N668130569
AO SSY,N668897842
AO SVP,N279010365
AO SZA,N2051103707
AO UAL,N668074709
AO UGO,N279010696
AO VHC,N293386732
AO VNA,R11704230
AO XGN,W1188727306
AR ABA,R3565094
AR AC5,R3473073
AR ACA,R11571242
AR ACF,R3743598
AR ACS,R1877206
AR ADC,R3343665
AR ADS,R3490710
AR ADV,R2156256
AR AEA,R9349759
AR AFA,R3013409
AR AGS,R3462294
AR AIM,R2256918
AR ALE,R9395646
AR ALI,R5815668
AR ALL,R4764478
AR ALN,N6294527577
AR ALO,R9373312
AR ALS,R2545686
AR ALZ,R4584689
AR AMA,R7328759
AR ANA,R3350666
AR ANC,N5695248684
AR AND,R7314622
AR ANO,W699522084
AR AOL,R3157189
AR APO,R3966895
AR APZ,R9601704
AR ARG,R3669982
AR ARI,R9397299
AR ARN,R2885731
AR ASA,W203302827
AR ASL,N198438618
AR ASO,R3892744
AR AST,N198439656
AR ATU,W193415212
AR AVD,R5970249
AR AVE,R2222250
AR AVO,R3187041
AR AVR,R3913338
AR AVS,R4279059
AR AYO,R9379566
AR AZU,N1309067410
AR BAD,R2537834
AR BAJ,N198439897
AR BAL,N4217395115
AR BAR,R7079778
AR BAS,R2959642
AR BCA,R3399814
AR BDE,R1894774
AR BDR,R3490711
AR BEA,R9401494
AR BEC,R1770851
AR BEL,R2430419
AR BER,R2198461
AR BES,R9401481
AR BGO,R6597894
AR BHI,R3302861
AR BHO,R6411303
AR BJR,R3871242
AR BOL,R9539812
AR BON,R3048754
AR BOU,R1770848
AR BQS,R1536677
AR BRC,R3405247
AR BRD,R5816313
AR BRN,R2067596
AR BSB,R11034886
AR BUE,R1224652
AR BUR,R2532299
AR BUU,R10972989
AR BVA,R8206692
AR BVC,R3125258
AR BVL,R9401489
AR BVZ,R2410061
AR CAA,R3565832
AR CAB,N5702700280
AR CAE,R3443239
AR CAL,R3966668
AR CAN,R3743638
AR CAO,R9405801
AR CAS,N198441415
AR CAT,N198442786
AR CAZ,R9420189
AR CBS,N3048092900
AR CBZ,R5625069
AR CCB,R3467208
AR CCO,R3871297
AR CCT,R4432142
AR CDA,R2980561
AR CDC,R2989596
AR CDE,R6669405
AR CDL,R3190511
AR CDN,R9529792
AR CDP,R2961249
AR CDS,R2822715
AR CEN,R6413254
AR CEO,R11886765
AR CFY,R2280909
AR CGA,R3648765
AR CGO,R3987750
AR CHA,R2805344
AR CHL,R3884444
AR CHO,R2295153
AR CHS,R5816495
AR CIU,R2432988
AR CLN,R4079488
AR CLO,R1666712
AR CMG,R13498484
AR CMP,N198441525
AR CNL,R9405740
AR CNN,R3195647
AR CNO,R3013363
AR CNQ,R3127758
AR CNT,R1650029
AR COA,R4092887
AR COC,R2826131
AR COL,R2867207
AR COM,R2989640
AR CON,R3130063
AR COR,R5167559
AR COS,R3986724
AR COU,R2901501
AR CPC,R10783671
AR CPG,R3410336
AR CPY,R11771193
AR CQO,R7292845
AR CRD,R3732554
AR CRL,R5608549
AR CRO,R3983856
AR CRR,R4208460
AR CRY,R9408617
AR CSL,R3496258
AR CSN,R5900947
AR CSO,N2118295495
AR CSS,R4077385
AR CST,R10772839
AR CSZ,R3405680
AR CTA,R3130065
AR CTC,R7327976
AR CTL,R2014610
AR CTO,R3410715
AR CUE,N198442790
AR CUT,R16093211
AR CVH,R11693654
AR CVI,R3430513
AR CVO,R3987121
AR CVP,N198443176
AR CVY,R3399858
AR CYA,R11897054
AR CYB,R3264196
AR CZO,R9407730
AR DCU,R1870715
AR DGU,W1094788497
AR DIX,R3443610
AR DOR,R2965016
AR EBA,R3020351
AR EBO,N5196316298
AR EEA,N198440814
AR EHL,R11621095
AR EJO,W416934783
AR ELB,N2797608607
AR ELO,R4002038
AR ELP,R2975770
AR EMX,R4445880
AR EPA,R2014634
AR EQS,R4445661
AR ESE,R16214617
AR ESP,R6054732
AR ETL,R4110859
AR ETP,R3579370
AR EVA,R1748246
AR EZA,R3195654
AR FAM,R3479058
AR FBE,R2960921
AR FEN,R2806051
AR FER,R12387241
AR FLB,N198413641
AR FLO,R1270154
AR FMA,R9612673
AR FNS,R3594026
AR FRK,R4142128
AR FRR,R4281044
AR FRT,N198450740
AR FRY,R9384682
AR FTE,R11634334
AR FVB,R2404291
AR GAR,R1894405
AR GBE,R13459538
AR GBG,R1784685
AR GCA,R5282315
AR GCR,R2966988
AR GDG,R2961227
AR GDL,R7328193
AR GEO,R2989805
AR GGL,R7268438
AR GGS,R3439480
AR GHU,R10752043
AR GLS,R4753243
AR GLV,N198451516
AR GMA,N198451484
AR GNR,R9345982
AR GOB,N198451696
AR GOC,R1751004
AR GOD,R9398914
AR GPC,R1943943
AR GPO,R3363309
AR GRB,R3791938
AR GRC,R3972911
AR GRD,N198451608
AR GRM,R2906192
AR GRU,R3511968
AR GUM,N198452110
AR GUR,R8221367
AR GUY,R2921358
AR GVA,R3048755
AR GVL,R3414209
AR HAE,R2014589
AR HER,R9432769
AR HIC,N198452233
AR HOS,R12590649
AR HUG,R4076183
AR HUM,R4142131
AR HUR,R2547949
AR HVB,N198452227
AR IAL,R13456058
AR IBY,R2925405
AR ICA,N198453036
AR IGB,R3941282
AR IGI,N198452632
AR IGR,R2294418
AR ILH,R11072756
AR IMZ,R1894437
AR ING,R5411160
AR IQO,R2961079
AR IRJ,R3302082
AR ITZ,R2547591
AR JEC,W46595850
AR JGR,R2149206
AR JLF,R1784675
AR JLS,R9166483
AR JMG,R3264246
AR JMJ,R9477660
AR JNI,R3443259
AR JNR,R2345776
AR JPT,R3430541
AR JPX,R5130757
AR JPZ,R16122547
AR JRC,R11146293
AR JSM,R9337015
AR JTR,R9429062
AR JUA,R9427931
AR JUJ,R4465720
AR JUN,R10016526
AR LAP,R8193672
AR LAR,R2461036
AR LAT,N198459313
AR LAV,R8695296
AR LBA,R3743462
AR LBL,R7321043
AR LCH,R2826091
AR LCM,N198455035
AR LCP,R11697118
AR LCR,R9435036
AR LCS,R2993135
AR LCT,R5148009
AR LCU,R2989586
AR LDM,R1714693
AR LES,R1601105
AR LFL,R9370777
AR LFR,R1747721
AR LGN,R2546803
AR LGS,R12593112
AR LHE,R2975791
AR LHG,R4051390
AR LHR,R9166554
AR LHS,R3439481
AR LIM,N198397358
AR LLM,R3018866
AR LLO,R2537177
AR LLS,R3498864
AR LMC,N198401898
AR LMD,R3944720
AR LMZ,R2537822
AR LNO,R3173529
AR LNS,R2546216
AR LPA,R2828859
AR LPD,R9499377
AR LPG,R3266014
AR LPM,R2992005
AR LPS,R4774744
AR LQU,R7213451
AR LRS,R3471259
AR LTA,R9494446
AR LTV,R2955009
AR LUJ,R6930714
AR LUL,R3486001
AR LUQ,R9806959
AR LVL,R3918859
AR LZG,R2961220
AR MAC,R3902600
AR MAQ,R11072742
AR MAR,R1770849
AR MCR,N198404720
AR MCS,R3156447
AR MDE,R9564475
AR MDQ,R3402727
AR MDX,R3155277
AR MDZ,R4206710
AR MED,R9453853
AR MGA,R2871398
AR MGD,N198401138
AR MIL,R3496475
AR MJR,R3406335
AR MML,R3921420
AR MNT,R3696709
AR MOC,R3156446
AR MOQ,R8085974
AR MOR,R2461625
AR MPU,R2961243
AR MQD,R11772639
AR MQO,R12637617
AR MRN,R2014607
AR MRO,R3264140
AR MRT,R2442769
AR MTC,R4016030
AR MTH,R1894785
AR MUN,R1282753
AR MYR,R2988741
AR NCL,R9802706
AR NEC,R3406343
AR NES,R7230238
AR NIN,R2950993
AR NNA,R9377182
AR NOG,R11890711
AR NOS,R9448186
AR NQN,R2684608
AR OBA,R11569504
AR OCT,R9456628
AR ODN,R3414210
AR ODR,N198407717
AR OES,R3410254
AR ORA,R4869436
AR ORE,R2442878
AR OVI,N198407463
AR OYA,R3144223
AR OYO,R3405797
AR PAS,R9458605
AR PCO,N2836055515
AR PCY,N198450586
AR PDC,N198408755
AR PDM,R5335691
AR PDT,N10092068163
AR PED,R2989646
AR PEH,R3443281
AR PEL,R3199881
AR PGO,R12320149
AR PGU,R3405695
AR PLA,R3153109
AR PLO,N1494464406
AR PLR,R2514006
AR PLT,R2684624
AR PLU,R3441882
AR PMA,R2955054
AR PME,W230277433
AR PML,R9417526
AR PMN,N198414031
AR PMQ,R3439483
AR PMY,R3410340
AR POC,R2724903
AR POM,R2788112
AR PP9,R2433881
AR PPL,R4480939
AR PQU,R6777856
AR PRA,R2879942
AR PRZ,R3598274
AR PSS,R2294383
AR PTC,R1558896
AR PTN,R3429109
AR PUD,R3439484
AR PUR,R11571772
AR PVA,N198414874
AR PWA,R7565215
AR QLV,R1270158
AR QPQ,N1966013709
AR QQN,R3406344
AR QUI,R2067960
AR RAF,R2277385
AR RAM,N198415656
AR RCQ,R2294499
AR RCU,R3921415
AR RDC,R2964491
AR RDE,R2546155
AR RDL,W208147919
AR RDM,R11569519
AR RDR,R9380784
AR RDS,R12524271
AR REL,N297981881
AR RES,R1522683
AR RFN,R13766876
AR RFO,R2730206
AR RGA,R11347665
AR RGL,R10916819
AR RHD,R2271182
AR RIC,W332070857
AR RIV,N198417261
AR RLA,N198416201
AR RLO,R9802707
AR RMJ,R1748197
AR RNG,R3265888
AR ROJ,R3743611
AR ROL,R3368050
AR ROS,R3594027
AR ROY,R9340524
AR RRS,R4112694
AR RSA,R3399834
AR RSG,R2330523
AR RTO,R3918308
AR RWO,N198416132
AR RXV,R5836735
AR RYO,R3439488
AR RZA,R4851282
AR SA2,R4112693
AR SAA,N1991342525
AR SAE,R3410253
AR SAG,N198418871
AR SAJ,R2866189
AR SAL,N198418593
AR SAN,R3190588
AR SAO,R5925990
AR SAP,R2539283
AR SAR,R2147883
AR SAT,R9168783
AR SCA,W1075081537
AR SDE,R3759837
AR SDL,R11571686
AR SDR,N198418604
AR SFE,R1898365
AR SFN,R3498629
AR SFO,R3918962
AR SFS,R2532390
AR SFV,R7327976
AR SGV,R6666035
AR SIA,R3833881
AR SIG,R3489868
AR SIS,R1877221
AR SJG,R4111782
AR SJL,R3439485
AR SJM,R2730170
AR SJO,R1748245
AR SJR,R4226346
AR SJV,R11569530
AR SLA,R7274360
AR SLL,R3399542
AR SLU,N1831212974
AR SMA,R12733883
AR SMC,R3486117
AR SMG,R2029703
AR SMM,R3348578
AR SMR,R2955053
AR SNG,R2295496
AR SNN,R16193063
AR SNP,R9182373
AR SNS,R8186133
AR SPD,W307929948
AR SSA,R2858482
AR SSJ,R4465720
AR SSN,R12264655
AR SST,R15740805
AR STA,R2993093
AR STL,N1831212974
AR SUI,R4126564
AR SUS,R4167414
AR SVE,R11569566
AR SZQ,R2433056
AR TAB,R1748232
AR TDL,R3399642
AR TEM,R2537337
AR TEO,R4067730
AR TGR,R2409645
AR TIC,R9469714
AR TOR,R3405754
AR TOT,R1784694
AR TPL,R1750946
AR TPV,R2199855
AR TRS,R3197813
AR TTD,R4261249
AR TTG,R2728568
AR TUC,R3486117
AR TUN,R3023107
AR TVJ,R3491676
AR UAQ,R16064816
AR UKD,R5815445
AR ULA,N1242124044
AR ULP,R4029200
AR URA,R8167091
AR URH,R2989712
AR USA,R8193938
AR USH,R2296333
AR UZU,R3134569
AR VAA,R2545686
AR VAD,R1770850
AR VAL,R2709159
AR VBA,R9166567
AR VBS,R2435787
AR VCA,R9422446
AR VCF,R2607581
AR VCH,N198432888
AR VCL,R3587502
AR VCN,R4061094
AR VCP,R2284280
AR VDM,R6120930
AR VDP,R1751001
AR VDR,R9468610
AR VDY,R2922116
AR VED,R16215429
AR VEL,R4045517
AR VFL,R3030379
