"locode","fraction_in_city","cell_lat","cell_lon","geometry","area","year","reference_number","gas","emissions_quantity","emissions_quantity_units"
AR VLO,0.19425174692847447,-34.55,-58.55,"POLYGON((-58.599999999999994 -34.599999999999994,-58.599999999999994 -34.5,-58.5 -34.5,-58.5 -34.599999999999994,-58.599999999999994 -34.599999999999994))",0.009999999999998864,2022,II.4.1,N2O,0.0246168,kg
AR VLO,0.1308721996164394,-34.55,-58.45,"POLYGON((-58.5 -34.599999999999994,-58.5 -34.5,-58.400000000000006 -34.5,-58.400000000000006 -34.599999999999994,-58.5 -34.599999999999994))",0.009999999999998864,2022,II.4.1,N2O,0.0246168,kg
AR VLO,0.19425174692847447,-34.55,-58.55,"POLYGON((-58.599999999999994 -34.599999999999994,-58.599999999999994 -34.5,-58.5 -34.5,-58.5 -34.599999999999994,-58.599999999999994 -34.599999999999994))",0.009999999999998864,2022,II.4.1,CH4,0.00615421,kg
AR VLO,0.1308721996164394,-34.55,-58.45,"POLYGON((-58.5 -34.599999999999994,-58.5 -34.5,-58.400000000000006 -34.5,-58.400000000000006 -34.599999999999994,-58.5 -34.599999999999994))",0.009999999999998864,2022,II.4.1,CH4,0.00615421,kg
AR VLO,0.1308721996164394,-34.55,-58.45,"POLYGON((-58.5 -34.599999999999994,-58.5 -34.5,-58.400000000000006 -34.5,-58.400000000000006 -34.599999999999994,-58.5 -34.599999999999994))",0.009999999999998864,2022,II.4.1,CH4,328.98,kg
AR VLO,0.1308721996164394,-34.55,-58.45,"POLYGON((-58.5 -34.599999999999994,-58.5 -34.5,-58.400000000000006 -34.5,-58.400000000000006 -34.599999999999994,-58.5 -34.599999999999994))",0.009999999999998864,2022,II.4.1,N2O,1314.83,kg
AR VLO,0.1308721996164394,-34.55,-58.45,"POLYGON((-58.5 -34.599999999999994,-58.5 -34.5,-58.400000000000006 -34.5,-58.400000000000006 -34.599999999999994,-58.5 -34.599999999999994))",0.009999999999998864,2022,II.4.1,CO2,46993000,kg
AR VLO,0.19425174692847447,-34.55,-58.55,"POLYGON((-58.599999999999994 -34.599999999999994,-58.599999999999994 -34.5,-58.5 -34.5,-58.5 -34.599999999999994,-58.599999999999994 -34.599999999999994))",0.009999999999998864,2021,II.4.1,CH4,24.7322,kg
AR VLO,0.1308721996164394,-34.55,-58.45,"POLYGON((-58.5 -34.599999999999994,-58.5 -34.5,-58.400000000000006 -34.5,-58.400000000000006 -34.599999999999994,-58.5 -34.599999999999994))",0.009999999999998864,2021,II.4.1,CH4,57.9041,kg
AR VLO,0.000148181023109,-34.45,-58.55,"POLYGON((-58.599999999999994 -34.5,-58.599999999999994 -34.400000000000006,-58.5 -34.400000000000006,-58.5 -34.5,-58.599999999999994 -34.5))",0.009999999999998864,2021,II.4.1,CH4,16.1158,kg
