locode,region,country
AD ALV,,AD
AD CAN,,AD
AD ENC,,AD
AD ESC,,AD
AD EAC,AD-04,AD
AD FMO,,AD
AD LMA,,AD
AD ORD,,AD
AD PAS,,AD
AD SJL,,AD
AD SCO,,AD
AE ABU,,AE
AE AUH,AE-AZ,AE
AE AMU,,AE
AE ARP,AE-AZ,AE
AE AJM,,AE
AE AAN,,AE
AE ALB,AE-DU,AE
AE DHF,,AE
AE FJR,AE-FU,AE
AE HAM,,AE
AE JAZ,AE-RK,AE
AE AJP,AE-RK,AE
AE DBI,AE-AZ,AE
AE ALQ,AE-DU,AE
AE ALS,AE-DU,AE
AE RUW,,AE
AE ARZ,,AE
AE DAS,,AE
AE DER,AE-DU,AE
AE DBP,AE-SH,AE
AE DXB,AE-DU,AE
AE DWC,,AE
AE END,AE-AZ,AE
AE FAT,,AE
AE FRP,AE-DU,AE
AE HAB,AE-AZ,AE
AE HIL,AE-AZ,AE
AE HZP,AE-DU,AE
AE HSN,AE-DU,AE
AE HAT,AE-DU,AE
AE HTL,,AE
AE IND,,AE
AE JEA,,AE
AE QWE,AE-DU,AE
AE JED,,AE
AE JYH,,AE
AE KLB,,AE
AE KHA,,AE
AE KLF,,AE
AE MAS,,AE
AE MKH,AE-SH,AE
AE KHL,,AE
AE MRP,AE-AZ,AE
AE MSA,AE-RK,AE
AE MZD,AE-AZ,AE
AE NHD,,AE
AE RFA,AE-AZ,AE
AE MUB,,AE
AE MBS,,AE
AE FMZ,,AE
AE AMF,AE-AZ,AE
AE OFJ,,AE
AE PRA,,AE
AE RKP,AE-RK,AE
AE RMC,AE-RK,AE
AE RKT,,AE
AE RAK,AE-DU,AE
AE DUY,,AE
AE REI,AE-AZ,AE
AE RWP,AE-AZ,AE
AE SID,,AE
AE SHJ,AE-SH,AE
AE SIL,AE-AZ,AE
AE SRT,AE-RK,AE
AE SWE,AE-AZ,AE
AE DUJ,AE-DU,AE
AE ULR,,AE
AE QIW,,AE
AE VHT,AE-RK,AE
AE YAS,AE-AZ,AE
AE ZUR,AE-AZ,AE
AF ASH,AF-URU,AF
AF BAG,AF-PAR,AF
AF BIN,,AF
AF BEP,AF-KAN,AF
AF BST,,AF
AF CBN,AF-HEL,AF
AF CDW,AF-HEL,AF
AF CLN,AF-HEL,AF
AF CSO,AF-KHO,AF
AF CWO,AF-ZAB,AF
AF CCN,,AF
AF DAZ,,AF
AF DHD,AF-BAL,AF
AF ISQ,,AF
AF FBD,,AF
AF FAH,,AF
AF FRO,AF-KAN,AF
AF RMD,AF-KAN,AF
AF SHK,AF-LOG,AF
AF GRG,,AF
AF GAR,AF-PIA,AF
AF GZI,,AF
AF HRT,,AF
AF HEA,,AF
AF JAA,,AF
AF KBL,,AF
AF KMU,AF-KNR,AF
AF KDH,,AF
AF KHT,,AF
AF KHO,AF-KNR,AF
AF KWT,AF-PIA,AF
AF KWH,,AF
AF UND,,AF
AF KUR,,AF
AF LAG,AF-HEL,AF
AF MMZ,,AF
AF MWD,AF-KAN,AF
AF MAS,,AF
AF MZR,,AF
AF MEH,AF-LAG,AF
AF MEY,AF-BAL,AF
AF IMZ,,AF
AF ORG,AF-PKA,AF
AF PSD,AF-GHO,AF
AF PEC,AF-KAB,AF
AF LQN,,AF
AF QLT,,AF
AF QYN,AF-BDG,AF
AF QAM,,AF
AF SBF,,AF
AF SRO,AF-PKA,AF
AF SGA,,AF
AF SHE,,AF
AF SDD,AF-HER,AF
AF SBK,AF-KAN,AF
AF TQN,,AF
AF TKO,AF-URU,AF
AF TII,,AF
AF TGH,,AF
AF RKH,AF-NAN,AF
AF TOW,AF-HER,AF
AF URN,,AF
AF URZ,,AF
AF ZAJ,,AF
AF ZHA,AF-KAN,AF
AG ANU,,AG
AG BBQ,,AG
AG FAM,,AG
AG PHM,,AG
AG SJO,,AG
AI AXA,,AI
AI BLP,,AI
AI CRH,,AI
AI MBB,,AI
AI RBY,,AI
AI SOM,,AI
AI FOR,,AI
AI ROA,,AI
AI VAL,,AI
AI WLL,,AI
AL ARG,,AL
AL BRT,AL-BR,AL
AL BQE,AL-09,AL
AL BUT,AL-SR,AL
AL DRZ,,AL
AL NPP,AL-EL,AL
AL FIE,,AL
AL FUS,AL-SH,AL
AL GOK,AL-GJ,AL
AL HMR,AL-SR,AL
AL KRC,AL-KO,AL
AL KKU,AL-KU,AL
AL LZE,AL-LE,AL
AL LUS,AL-LU,AL
AL MBR,AL-01,AL
AL MIL,AL-08,AL
AL ROM,AL-02,AL
AL SAR,AL-SR,AL
AL SHG,AL-LE,AL
AL SHK,,AL
AL SHZ,AL-KA,AL
AL TEN,,AL
AL TIA,,AL
AL VOA,AL-VL,AL
AL VOR,AL-TR,AL
AM ABO,,AM
AM AHU,,AM
AM A3A,AM-AG,AM
AM ARG,,AM
AM ARA,,AM
AM ARV,,AM
AM ASH,AM-ER,AM
AM BRD,,AM
AM BYU,AM-KT,AM
AM DIL,,AM
AM EZN,,AM
AM GRS,,AM
AM LWN,,AM
AM HRA,AM-KT,AM
AM JER,AM-VD,AM
AM KJN,,AM
AM KPN,AM-SU,AM
AM ARM,AM-AR,AM
AM MMA,AM-GR,AM
AM MTR,AM-ER,AM
AM RN4,AM-VD,AM
AM SPI,AM-LO,AM
AM VZR,,AM
AM VED,AM-AR,AM
AM EVN,AM-ER,AM
AO AZZ,,AO
AO ANL,,AO
AO ARO,AO-ZAI,AO
AO BAB,,AO
AO BDT,,AO
AO BDD,,AO
AO BEL,AO-LUA,AO
AO BUG,,AO
AO CAB,,AO
AO CFF,,AO
AO CNZ,,AO
AO KNP,,AO
AO CPO,,AO
AO CBT,,AO
AO CAV,,AO
AO PGI,,AO
AO CLV,,AO
AO CUI,,AO
AO CTI,,AO
AO DAL,,AO
AO DRC,,AO
AO DGR,,AO
AO DUE,,AO
AO ETN,,AO
AO FBY,,AO
AO FLT,,AO
AO GIM,,AO
AO GIR,,AO
AO GPO,,AO
AO NOV,,AO
AO JMB,,AO
AO KTI,,AO
AO SVP,,AO
AO KOT,,AO
AO LAA,,AO
AO LIE,,AO
AO LOB,,AO
AO LBT,,AO
AO LAD,,AO
AO UAL,,AO
AO SDD,,AO
AO LUC,,AO
AO LUO,,AO
AO LBZ,,AO
AO GGC,,AO
AO LZM,,AO
AO MEG,,AO
AO MLO,,AO
AO MAL,,AO
AO MDZ,AO-UIG,AO
AO MTL,AO-HUI,AO
AO SSY,,AO
AO SPP,,AO
AO MOS,,AO
AO MSZ,,AO
AO NDF,AO-CNO,AO
AO GXG,,AO
AO NQI,,AO
AO NRQ,,AO
AO NZA,,AO
AO ARZ,,AO
AO NTO,,AO
AO NGV,AO-CNN,AO
AO VPE,,AO
AO PAT,,AO
AO PAZ,,AO
AO PLE,,AO
AO PBN,,AO
AO PSA,,AO
AO RSN,,AO
AO STC,AO-UIG,AO
AO VHC,,AO
AO SBT,,AO
AO STL,,AO
AO SZA,,AO
AO SOQ,,AO
AO NDD,,AO
AO TAK,,AO
AO UGO,,AO
AO VNA,AO-LUA,AO
AO CEO,,AO
AO XGN,,AO
AQ ABA,,AQ
AQ AMS,,AQ
AQ ARC,,AQ
AQ ART,,AQ
AQ APT,,AQ
AQ BEL,,AQ
AQ BHN,,AQ
AQ CAS,,AQ
AQ CFZ,,AQ
AQ CON,,AQ
AQ DAV,,AQ
AQ DMF,,AQ
AQ DRZ,,AQ
AQ DDU,,AQ
AQ ESC,,AQ
AQ ESP,,AQ
AQ GDC,,AQ
AQ OHG,,AQ
AQ GWL,,AQ
AQ HLY,,AQ
AQ JBS,,AQ
AQ JCP,,AQ
AQ JUB,,AQ
AQ KSG,,AQ
AQ KHN,,AQ
AQ LAW,,AQ
AQ MTR,,AQ
AQ MRB,,AQ
AQ MZU,,AQ
AQ MAW,,AQ
AQ MCM,,AQ
AQ MIR,,AQ
AQ NEU,,AQ
AQ NOV,,AQ
AQ ORC,,AQ
AQ PLM,,AQ
AQ PFS,,AQ
AQ PRO,,AQ
AQ ROT,,AQ
AQ SMT,,AQ
AQ SNA,,AQ
AQ SBA,,AQ
AQ SGN,,AQ
AQ SYW,,AQ
AQ TNM,,AQ
AQ TOR,,AQ
AQ TRL,,AQ
AQ VKY,,AQ
AQ VOS,,AQ
AQ WSA,,AQ
AQ ZGN,,AQ
AR ABA,,AR
AR ACA,AR-N,AR
AR ACS,AR-B,AR
AR AVD,AR-B,AR
AR AC5,AR-T,AR
AR AMA,AR-X,AR
AR GEO,AR-M,AR
AR AGS,AR-T,AR
AR AIM,AR-F,AR
AR ALN,AR-J,AR
AR ALI,AR-B,AR
AR AEA,AR-U,AR
AR ADS,AR-T,AR
AR ALL,AR-R,AR
AR ALE,AR-X,AR
AR ALS,,AR
AR ASL,AR-J,AR
AR ARR,AR-U,AR
AR LTV,AR-M,AR
AR ALZ,AR-S,AR
AR AVR,AR-S,AR
AR ANA,AR-G,AR
AR ANC,AR-B,AR
AR ADC,AR-Q,AR
AR AND,AR-K,AR
AR ALO,AR-Q,AR
AR ANO,AR-J,AR
AR ASA,AR-A,AR
AR APO,AR-N,AR
AR ARN,AR-E,AR
AR ARI,AR-X,AR
AR AVO,AR-N,AR
AR ARG,AR-S,AR
AR ACF,AR-B,AR
AR AYO,AR-X,AR
AR ASO,,AR
AR AST,,AR
AR ATU,AR-B,AR
AR AVE,AR-C,AR
AR AVS,AR-S,AR
AR AZU,AR-B,AR
AR BHI,AR-B,AR
AR BSB,AR-B,AR
AR BAJ,AR-F,AR
AR BHO,AR-B,AR
AR BCA,AR-B,AR
AR BES,AR-X,AR
AR BDR,AR-T,AR
AR BAD,AR-B,AR
AR BAR,AR-B,AR
AR BAS,AR-M,AR
AR BQS,AR-H,AR
AR BAL,AR-J,AR
AR BTN,AR-B,AR
AR BMS,AR-X,AR
AR BEC,AR-B,AR
AR BDE,AR-B,AR
AR BVL,AR-X,AR
AR BEL,AR-B,AR
AR BVA,AR-T,AR
AR BVC,AR-W,AR
AR BVZ,AR-B,AR
AR BEA,AR-X,AR
AR BJR,AR-B,AR
AR BER,AR-B,AR
AR BRN,AR-B,AR
AR BOL,AR-S,AR
AR BOU,AR-B,AR
AR BON,AR-M,AR
AR BGO,AR-B,AR
AR BRD,AR-B,AR
AR BUE,AR-C,AR
AR BUU,AR-T,AR
AR BUR,AR-B,AR
AR CAB,AR-B,AR
AR CSA,,AR
AR CFY,AR-A,AR
AR CAS,AR-E,AR
AR CLC,AR-X,AR
AR CVI,AR-Z,AR
AR CMP,AR-B,AR
AR CGO,AR-N,AR
AR CLO,AR-H,AR
AR CQO,AR-A,AR
AR CRO,AR-N,AR
AR MPO,AR-A,AR
AR CSO,AR-A,AR
AR CVO,AR-N,AR
AR CGA,AR-S,AR
AR CRL,AR-S,AR
AR CNL,AR-X,AR
AR CDL,AR-N,AR
AR CNN,AR-B,AR
AR CAE,AR-B,AR
AR CDS,AR-B,AR
AR CBZ,,AR
AR CSN,AR-B,AR
AR CAA,AR-S,AR
AR CCB,AR-B,AR
AR CAN,AR-B,AR
AR CPG,AR-B,AR
AR CDN,AR-S,AR
AR CAO,AR-X,AR
AR ORE,AR-B,AR
AR CSL,AR-S,AR
AR CTL,AR-B,AR
AR CTC,AR-K,AR
AR CAT,AR-F,AR
AR CTO,AR-L,AR
AR CUE,AR-J,AR
AR CVH,AR-Q,AR
AR CEN,AR-B,AR
AR CRR,AR-S,AR
AR CAL,AR-N,AR
AR CVP,AR-T,AR
AR CRA,AR-T,AR
AR CSS,AR-S,AR
AR CCO,AR-B,AR
AR CDC,AR-M,AR
AR CHA,AR-E,AR
AR CNT,AR-H,AR
AR CHS,AR-B,AR
AR CHO,AR-F,AR
AR CBS,AR-J,AR
AR CPY,AR-R,AR
AR CVY,AR-B,AR
AR CHL,AR-R,AR
AR HOS,AR-Q,AR
AR CST,AR-R,AR
AR CPA,AR-R,AR
AR CYB,AR-B,AR
AR EVA,AR-B,AR
AR CIU,AR-B,AR
AR CLN,AR-S,AR
AR CLX,AR-F,AR
AR CZO,AR-X,AR
AR COO,AR-C,AR
AR COL,AR-E,AR
AR CRY,AR-X,AR
AR CCT,AR-R,AR
AR OLN,AR-U,AR
AR CRD,AR-U,AR
AR CON,AR-W,AR
AR COS,AR-N,AR
AR COU,AR-E,AR
AR CCP,AR-T,AR
AR COC,AR-E,AR
AR CMG,AR-R,AR
AR IQO,AR-M,AR
AR COR,AR-X,AR
AR COA,AR-S,AR
AR CSZ,AR-B,AR
AR CNQ,AR-W,AR
AR CDA,AR-M,AR
AR CEO,AR-E,AR
AR CAZ,AR-X,AR
AR CDP,AR-M,AR
AR CDE,AR-X,AR
AR CNO,AR-M,AR
AR CUA,AR-B,AR
AR UZU,AR-W,AR
AR CUT,AR-Q,AR
AR DIX,AR-B,AR
AR DGU,AR-E,AR
AR ADV,AR-B,AR
AR DME,AR-R,AR
AR DKS,AR-C,AR
AR DSU,AR-B,AR
AR DCU,AR-B,AR
AR DOR,AR-M,AR
AR ELB,AR-K,AR
AR EHL,AR-R,AR
AR EBO,AR-A,AR
AR FTE,AR-Z,AR
AR JEC,AR-A,AR
AR EMX,AR-U,AR
AR EPA,AR-B,AR
AR ELP,AR-M,AR
AR ETP,AR-B,AR
AR ETL,AR-S,AR
AR ELO,AR-N,AR
AR ZAI,AR-A,AR
AR EEA,AR-B,AR
AR EPL,AR-B,AR
AR ESP,AR-S,AR
AR EQS,AR-U,AR
AR ESE,AR-B,AR
AR JTR,AR-X,AR
AR EBA,AR-M,AR
AR EZA,AR-B,AR
AR FAM,AR-T,AR
AR FEN,AR-E,AR
AR FER,AR-G,AR
AR FRR,AR-X,AR
AR FVB,AR-B,AR
AR FLO,AR-B,AR
AR FMA,AR-P,AR
AR FRK,AR-S,AR
AR FLB,AR-S,AR
AR FBE,AR-M,AR
AR FRY,AR-X,AR
AR FRT,AR-X,AR
AR XLM,AR-S,AR
AR FNS,AR-S,AR
AR GVL,AR-S,AR
AR GAR,AR-B,AR
AR GRU,AR-N,AR
AR GVA,AR-M,AR
AR GBE,AR-B,AR
AR GCA,AR-X,AR
AR GDL,AR-X,AR
AR XSA,AR-R,AR
AR NES,AR-A,AR
AR GGL,AR-A,AR
AR GDG,AR-M,AR
AR GLS,AR-S,AR
AR GLV,AR-B,AR
AR GMA,AR-B,AR
AR GPC,AR-B,AR
AR GPO,AR-L,AR
AR GRM,AR-E,AR
AR GNR,AR-R,AR
AR GRD,AR-B,AR
AR VGS,AR-B,AR
AR JGR,AR-B,AR
AR GOB,AR-M,AR
AR VLV,AR-S,AR
AR GGS,AR-Z,AR
AR GRC,AR-N,AR
AR GCR,AR-M,AR
AR GOC,AR-B,AR
AR GOD,AR-B,AR
AR OYA,AR-W,AR
AR GRB,AR-S,AR
AR GBG,AR-B,AR
AR GUY,AR-E,AR
AR GHU,AR-E,AR
AR GYM,AR-M,AR
AR GUM,AR-T,AR
AR GUR,AR-B,AR
AR HAE,AR-B,AR
AR HER,AR-X,AR
AR HVB,AR-B,AR
AR HIC,AR-A,AR
AR HUG,AR-S,AR
AR HUM,AR-S,AR
AR HUR,AR-B,AR
AR IBY,AR-E,AR
AR IGR,AR-N,AR
AR IAL,AR-B,AR
AR BUI,AR-B,AR
AR IGI,AR-M,AR
AR JJL,AR-B,AR
AR IGB,AR-R,AR
AR ILH,AR-R,AR
AR IMZ,AR-B,AR
AR INW,AR-B,AR
AR ICA,AR-B,AR
AR ICV,AR-K,AR
AR ITZ,AR-B,AR
AR WNL,AR-B,AR
AR AEP,AR-B,AR
AR JPZ,AR-B,AR
AR JSM,AR-U,AR
AR JLS,AR-B,AR
AR JUA,AR-X,AR
AR JUJ,AR-Y,AR
AR NIN,AR-M,AR
AR JNI,AR-B,AR
AR JUN,AR-Q,AR
AR JPX,AR-X,AR
