id,source_name,GPC_refno,city_name,locode,temporal_granularity,year,activity_name,activity_value,activity_units,gas_name,emission_factor_value,emission_factor_units,emissions_value,emissions_units
3e2df1d7-10f9-3529-8e80-9d1541456087,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by AUTOMOBILE transportation mode in IN-BOUNDARY trips,140649795,km,CO2,,,35535978,kg
9d32b9f4-6df5-3e11-b22e-10ed87be247d,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by AUTOMOBILE transportation mode in IN-BOUNDARY trips,127940950,km,CO2,,,32325015,kg
c23181d1-be2b-3d62-93df-10b87723652b,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by AUTOMOBILE transportation mode in IN-BOUNDARY trips,76677722,km,CO2,,,19373066,kg
3ac0f1f9-d6e7-35ac-b555-21ddb8152079,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by AUTOMOBILE transportation mode in IN-BOUNDARY trips,158206538,km,CO2,,,39971790,kg
034bb21a-187c-3364-bdfc-0f1c567bf335,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by AUTOMOBILE transportation mode in IN-BOUNDARY trips,196857658,km,CO2,,,49737215,kg
275ce750-43eb-3922-99a2-fcada5cf08f3,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by AUTOMOBILE transportation mode in INBOUND trips,351472595,km,CO2,,,88801569,kg
e4284082-b51e-3530-8e4b-853bdf11dce5,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by AUTOMOBILE transportation mode in INBOUND trips,277304371,km,CO2,,,70062541,kg
94dfe001-b0c0-3156-b27b-ee615fa9dd48,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by AUTOMOBILE transportation mode in INBOUND trips,153647743,km,CO2,,,38819984,kg
6a7dd54d-0d41-34e4-bd31-855901214609,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by AUTOMOBILE transportation mode in INBOUND trips,302879145,km,CO2,,,76524155,kg
436355f7-3f96-3da9-9e5f-a1c0fe8dcd70,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by AUTOMOBILE transportation mode in INBOUND trips,336064343,km,CO2,,,84908581,kg
2ff1c6c7-8e7d-3554-956f-2066eaab5041,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by AUTOMOBILE transportation mode in OUTBOUND trips,323951085,km,CO2,,,81848101,kg
b6317d4c-6dca-3c88-9f27-82a28e4dfea1,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by AUTOMOBILE transportation mode in OUTBOUND trips,255256742,km,CO2,,,64492081,kg
cdf96d08-44d3-3124-afbe-267c824a5c16,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by AUTOMOBILE transportation mode in OUTBOUND trips,146807871,km,CO2,,,37091851,kg
17ff4d67-b6df-3641-88f5-3701968e8dfc,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by AUTOMOBILE transportation mode in OUTBOUND trips,292873598,km,CO2,,,73996196,kg
8319bc85-b213-34d3-8912-0f2e6110fb44,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by AUTOMOBILE transportation mode in OUTBOUND trips,321700573,km,CO2,,,81279493,kg
adeb7dbe-9358-3781-a3b6-9ca709333780,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2022,emissions from VKT by BUS transportation mode in IN-BOUNDARY trips,25084327,km,CO2,,,11842731,kg
8f565b23-3765-35d5-9776-341bfd9b9062,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2021,emissions from VKT by BUS transportation mode in IN-BOUNDARY trips,14452240,km,CO2,,,6823144,kg
80b9468a-05de-3b7a-b7cb-279d5fa81759,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2020,emissions from VKT by BUS transportation mode in IN-BOUNDARY trips,8717767,km,CO2,,,4115803,kg
835e8e59-d902-381e-8a9f-bc549c8d21b3,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2019,emissions from VKT by BUS transportation mode in IN-BOUNDARY trips,15886845,km,CO2,,,7500445,kg
76e06a15-f4ad-389d-a35a-e042eb06b288,Google EIE,II.1.1,Mendoza,AR MDZ,annual,2018,emissions from VKT by BUS transportation mode in IN-BOUNDARY trips,18305913,km,CO2,,,8642527,kg
