year,activity_name,activity_value,activity_units,GPC_refno,gas_name,emission_factor_value,emission_factor_units,emissions_value,emissions_units,city_name,source_name,temporal_granularity,locode,id
2013,residential,41231.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,11878571.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,fb463e26-b508-339a-bc95-7e1a7bd754c5
2014,residential,43671.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,12581525.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,7aff3c97-8759-3e82-a3a5-a4b96de82f45
2015,residential,49517.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,14265840.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,a2750042-95f8-3bbd-9ccd-c88c79390635
2016,residential,49842.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,14359440.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,b393e96d-cf5c-320b-b117-ad327e28fa9f
2017,residential,50831.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,14644322.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,bb4ea6ee-f0c4-34be-bf86-f92f59004238
2018,residential,48207.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,13888440.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,9e911c83-e512-308f-a716-cd45512c1787
2019,residential,45150.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,13007617.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,9e693f58-a834-387c-8824-390bdfa23167
2020,residential,46697.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,13453317.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,159f2791-894b-38ee-adb0-72462237b875
2021,residential,45240.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,13033665.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,7e556e48-aa79-30bc-94c4-fe7944e98c50
2022,residential,45384.0,MWh,I.1.2,CO2,0.2881,kgCO2/kWh,13075010.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,c013c732-c761-31a7-9583-ca375fc9c4c2
2013,agricultural_irrigation,33886.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,9762622.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,b421fb29-a991-3018-8fa8-a769dfa64dc5
2014,agricultural_irrigation,33653.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,9695293.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,ced13cd1-684f-30b2-a28b-f8903165a82f
2015,agricultural_irrigation,28476.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,8204037.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,79d5d8d5-60b3-3788-93c3-831a6f6c500c
2016,agricultural_irrigation,20109.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,5793328.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,4bf4bd89-b61b-3b4f-9d1e-5ac3a2f3bbfb
2017,agricultural_irrigation,24009.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,6917028.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,edd98c47-3ff9-33fd-a797-f53091be8ff9
2018,agricultural_irrigation,23548.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,6784289.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,51bf6b59-9182-326f-81b5-2da6639c45dd
2019,agricultural_irrigation,20809.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,5995137.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,303aa1b0-e961-3e7e-b759-a052b7a60c13
2020,agricultural_irrigation,25442.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,7329925.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,803cb369-c443-3662-9e0e-ef2a92577982
2021,agricultural_irrigation,23754.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,6843582.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,dcd554ec-7544-33c2-ba55-5bc2e31bb6f5
2022,agricultural_irrigation,25363.0,MWh,I.5.2,CO2,0.2881,kgCO2/kWh,7307204.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,4c6eb909-3bbb-3681-a382-26b87aaabe18
2013,grandes_demandas,17922.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5163203.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,d8db50ed-c6f1-3735-8449-aa39f971ffe9
2014,grandes_demandas,15621.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,4500530.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,634f7180-833a-3cd7-bc63-0d5912193ea7
2015,grandes_demandas,20967.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,6040522.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,d36b36d8-f9c8-3850-82e1-67caad32b6d4
2016,grandes_demandas,18654.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5374088.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,194447d7-efaa-3362-a952-d8d0b59919f3
2017,grandes_demandas,18801.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5416570.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,930d28f1-f334-3576-a2be-43ce0beb954d
2018,grandes_demandas,19561.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5635452.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,2d4055da-56b5-336d-9ad9-3b9f7e05a32e
2019,grandes_demandas,20428.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5885442.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,635a645b-093f-38ff-9623-0d3eaec551ce
2020,grandes_demandas,18331.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5281055.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,b152c857-3a44-3d83-a419-c1850d4dcde5
2021,grandes_demandas,18544.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5342406.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,ee52490a-9b86-3252-b6b0-5f0e2e3f533a
2022,grandes_demandas,18642.0,MWh,I.3.2,CO2,0.2881,kgCO2/kWh,5370828.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,19a054a1-2138-340a-8ef8-579c4cf18148
2013,commercial,20995.0,MWh,I.2.2,CO2,0.2881,kgCO2/kWh,6048782.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,257ce2f9-561b-3ed2-bc4f-701e59935a75
2014,commercial,22594.0,MWh,I.2.2,CO2,0.2881,kgCO2/kWh,6509364.0,kg,Rivadavia,deie_mendoza,annual,AR RIV,252b37ff-fed4-31ff-a15f-49d581412c64
