ch4_emissions_kg,year,actor_id
145029,2017,AF JAA
1409960,2017,AF KDH
37632631,2016,AF KBL
40658986,2009,AO LAD
696582,2013,AM VZR
63492971,2013,AZ BAK
10216872,2000,BJ COO
10718613,2003,BF OUA
1207817,2012,BD RAU
1944790,2012,BD RJH
4765802,2014,BA SJJ
238967,2015,BZ SPR
524634,2015,BZ BZE
2933104,2011,BW GBE
4099922,2009,CO CLO
9244799,2006,DZ MOS
3072489,2012,EC UIO
6722015,2014,ES PNA
57866307,2014,ES MAD
16759820,2010,ET ADD
2164158,2015,ET DIR
31509719,2013,GH ACC
14093580,2015,GH KMS
11707740,1996,GN CKY
2748884,2002,GM BJL
24010077,2013,GT GUA
1827448,2015,HN TGU
15386805,2016,HN SAP
6470793,2016,IN MYQ
9696447,2012,IE DUB
45425389,2015,IT MIL
4844520,2015,JO AMM
43710676,2013,KE NBO
15088137,2015,KG OSS
38639484,2015,KH PNH
11634550,2011,LA VTE
10951140,2015,LY TIP
881131,2016,LK TRR
1989154,2016,LK JAF
13239293,2013,LT VNO
4751941,2013,LT KUN
18270000,2017,MA TNG
2316251,2016,MA BEM
11372407,2016,MG TNR
5781251,2016,MK SKP
12533400,2008,ML BKO
15007193,2017,MM MDL
34229897,2016,MM RGN
1139511,2013,ME TGD
45242999,2015,MN ULN
21681000,2016,MZ MPM
83100672,2016,MY KUL
2797847,2000,NA WDH
3416400,2003,NE NIM
70660349,2014,NG LOS
1027080,2008,NG OYO
26494739,2012,NG IBA
643532,2012,NI PUZ
23934278,2012,NI MGA
12964945,2013,NL AMS
4270611,2014,NO BGO
1378964,2012,NP PKR
633261,2012,NP BRG
1196356,2012,NP KTM
1217963,2012,NP BHR
1221993,2012,NP BIR
5786461,2016,PH CEB
39273657,2014,PH QZT
49530,2010,PW ROR
3492296,2016,PG POM
2283357,2010,PY SLO
5270874,2016,RO CLJ
5227407,2012,SL FNA
5964027,2013,SV SAL
6281524,2012,RS NVS
18898848,2014,TG LFW
1997360,2010,TJ KHU
860927,2012,TN TUN
78724,2013,TN SFA
3364200,2008,TN SUS
44966879,2014,UG KLA
24685986,2012,UY MVD
30972600,2012,UZ TAS
434469,2010,VE CCS
1152792,2012,VU VLI
18316800,2011,ZM LUN
283275,2012,ZW KAB
