sector_id,subsector_id,subsector_name,reference_number,scope_id
6e986105-3df9-30de-8997-041d93537278,913775b3-0e20-3b0f-b269-2576548bcd36,Emissions from product use occurring within the city boundary,IV.2,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031
6e986105-3df9-30de-8997-041d93537278,6b23cb0a-a1c1-35f5-835e-dca1d009ae9b,Emissions from industrial processes occurring within the city boundary,IV.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031
b7845aa4-e50b-3b8c-8941-77d098a73e82,52ec93fa-99d8-3cea-8d26-e8c9d3b4afaa,Emissions from livestock within the city boundary,V.1,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031
b7845aa4-e50b-3b8c-8941-77d098a73e82,36adcd97-2d47-3997-af8f-bcb8b92639f0,Emissions from land within the city boundary,V.2,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031
b7845aa4-e50b-3b8c-8941-77d098a73e82,3eb70366-95b3-3293-a701-83a5f617648e,Emissions from aggregate sources and non-CO2 emission sources on land within the city boundary,V.3,503d4c60-3ff0-3d2b-9ea0-6fb5b0078031
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,b69c4ec7-a3c7-37a2-af4f-634d5a06a512,"Fugitive emissions from mining, processing, storage, and transportation of coal",I.7,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,a235005c-f223-3c64-a0d2-f55d6f22f32f,Commercial and institutional buildings and facilities,I.2,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,b32f56a1-3a4e-3cd5-9052-e06284468700,Fugitive emissions from oil and natural gas systems,I.8,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,95c049d1-eff9-3b26-af49-2b32982e7dd9,"Agriculture, forestry and fishing activities",I.5,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,4f342e84-0269-3f04-aceb-1d6cd0a183bc,Energy industries,I.4,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,8de1d11d-4146-35f3-a973-e66930e68a50,Manufacturing industries and construction,I.3,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,abe4c7b0-242d-3ed2-a146-48885d6fb38d,Residential buildings,I.1,
5da765a9-1ca6-37e1-bcd6-7b387f909a4e,cfc4d8de-2b90-376c-b9d7-446aaf2d8eeb,Non-specified sources,I.6,
73eb7b71-159c-3eda-b7fc-f6eb53754dc3,5b84b809-1878-3b1b-bf6b-250c64d5e920,Aviation,II.4,
73eb7b71-159c-3eda-b7fc-f6eb53754dc3,e20ace37-9ba4-3a80-9d88-8cac5253c0b0,Off-road transportation,II.5,
73eb7b71-159c-3eda-b7fc-f6eb53754dc3,48fcfadb-90ed-34aa-80d9-fa31a90bef80,On-road transportation,II.1,
73eb7b71-159c-3eda-b7fc-f6eb53754dc3,8cf35b86-9ed2-36bd-b04d-eddc47db6676,Railways,II.2,
73eb7b71-159c-3eda-b7fc-f6eb53754dc3,ab32c321-e9e1-31b3-9dde-f93ade472219,Waterborne navigation,II.3,
d5acb72e-d915-310f-b3a3-77f634bcbf5e,a8baeb06-0ab2-3215-a93e-2fcbe0e8f8a9,Biological treatment of waste,III.2,
d5acb72e-d915-310f-b3a3-77f634bcbf5e,0ed16605-c76a-3c07-892d-4383a7618943,Incineration and open burning,III.3,
d5acb72e-d915-310f-b3a3-77f634bcbf5e,172d10c0-6b80-3173-902e-eca5c0af84c8,Solid waste disposal,III.1,
d5acb72e-d915-310f-b3a3-77f634bcbf5e,c465e7a2-1634-337f-819a-2dfbe147927e,Wastewater treatment and discharge,III.4,
501ace3b-f63f-3267-bd57-69ad6ff5ab77,401a7571-4951-3e40-be4c-f8b5ea41583f,Other Scope 3,VI.1,
