"locode","comuna_name","comuna","attribute_type","attribute_value","attribute_units","attribute_category"
CL ADC,Alto del Carmen,3302,unemployment_rate,8.77,percent,medium
CL ADC,Alto del Carmen,3302,poverty_rate,21.19,percent,medium
CL ADC,Alto del Carmen,3302,transport_logistics_employment,0.0,percent,very low
CL ADC,Alto del Carmen,3302,electricity_access,66.67,percent,very low
CL ADC,Alto del Carmen,3302,home_ownership,40.0,percent,very low
CL ADC,Alto del Carmen,3302,renter_share,20.0,percent,low
CL ADC,Alto del Carmen,3302,median_household_income,1138667.0,CLP,high
CL ADC,Alto del Carmen,3302,industry_construction_employment,0.0,percent,very low
CL ADC,Alto del Carmen,3302,public_transport_share,24.73,percent,low
CL AHP,Alto Hospicio,1107,electricity_access,100.0,percent,very low
CL AHP,Alto Hospicio,1107,median_household_income,1200000.0,CLP,high
CL AHP,Alto Hospicio,1107,renter_share,18.03,percent,low
CL AHP,Alto Hospicio,1107,industry_construction_employment,30.67,percent,high
CL AHP,Alto Hospicio,1107,home_ownership,62.3,percent,low
CL AHP,Alto Hospicio,1107,unemployment_rate,9.44,percent,high
CL AHP,Alto Hospicio,1107,poverty_rate,26.77,percent,very high
CL AHP,Alto Hospicio,1107,public_transport_share,31.84,percent,medium
CL AHP,Alto Hospicio,1107,transport_logistics_employment,6.67,percent,very low
CL ALG,Algarrobo,5602,median_household_income,1108241.0,CLP,medium
CL ALG,Algarrobo,5602,home_ownership,75.0,percent,high
CL ALG,Algarrobo,5602,renter_share,12.5,percent,low
CL ALG,Algarrobo,5602,poverty_rate,20.94,percent,low
CL ALG,Algarrobo,5602,electricity_access,100.0,percent,very low
CL ALG,Algarrobo,5602,unemployment_rate,9.8,percent,high
CL ALG,Algarrobo,5602,transport_logistics_employment,0.0,percent,very low
CL ALG,Algarrobo,5602,industry_construction_employment,12.5,percent,low
CL ALG,Algarrobo,5602,public_transport_share,39.54,percent,high
CL ALH,Alhué,13502,renter_share,0.0,percent,very low
CL ALH,Alhué,13502,industry_construction_employment,50.0,percent,very high
CL ALH,Alhué,13502,poverty_rate,16.51,percent,very low
CL ALH,Alhué,13502,public_transport_share,49.86,percent,very high
CL ALH,Alhué,13502,transport_logistics_employment,0.0,percent,very low
CL ALH,Alhué,13502,median_household_income,1414513.0,CLP,very high
CL ALH,Alhué,13502,electricity_access,100.0,percent,very low
CL ALH,Alhué,13502,unemployment_rate,8.18,percent,very low
CL ALH,Alhué,13502,home_ownership,50.0,percent,very low
CL AND,Andacollo,4103,public_transport_share,28.79,percent,medium
CL AND,Andacollo,4103,electricity_access,100.0,percent,very low
CL AND,Andacollo,4103,transport_logistics_employment,0.0,percent,very low
CL AND,Andacollo,4103,median_household_income,1068233.0,CLP,medium
CL AND,Andacollo,4103,unemployment_rate,9.08,percent,medium
CL AND,Andacollo,4103,home_ownership,80.0,percent,high
CL AND,Andacollo,4103,poverty_rate,24.26,percent,high
CL AND,Andacollo,4103,renter_share,0.0,percent,very low
CL AND,Andacollo,4103,industry_construction_employment,66.67,percent,very high
CL ANF,Antofagasta,2101,home_ownership,40.09,percent,very low
CL ANF,Antofagasta,2101,public_transport_share,34.19,percent,high
CL ANF,Antofagasta,2101,transport_logistics_employment,10.98,percent,low
CL ANF,Antofagasta,2101,industry_construction_employment,37.25,percent,very high
CL ANF,Antofagasta,2101,median_household_income,1303632.0,CLP,high
CL ANF,Antofagasta,2101,poverty_rate,19.53,percent,low
CL ANF,Antofagasta,2101,renter_share,42.29,percent,high
CL ANF,Antofagasta,2101,unemployment_rate,9.26,percent,medium
CL ANF,Antofagasta,2101,electricity_access,100.0,percent,very low
CL ANG,Angol,9201,renter_share,32.35,percent,high
CL ANG,Angol,9201,transport_logistics_employment,8.82,percent,low
CL ANG,Angol,9201,poverty_rate,31.96,percent,very high
CL ANG,Angol,9201,home_ownership,61.76,percent,low
CL ANG,Angol,9201,public_transport_share,27.27,percent,low
CL ANG,Angol,9201,unemployment_rate,10.36,percent,very high
CL ANG,Angol,9201,median_household_income,896521.0,CLP,very low
CL ANG,Angol,9201,industry_construction_employment,14.71,percent,low
CL ANG,Angol,9201,electricity_access,100.0,percent,very low
CL ANT,Antuco,8302,industry_construction_employment,75.0,percent,very high
CL ANT,Antuco,8302,poverty_rate,22.01,percent,medium
CL ANT,Antuco,8302,transport_logistics_employment,0.0,percent,very low
CL ANT,Antuco,8302,public_transport_share,35.51,percent,high
CL ANT,Antuco,8302,renter_share,20.0,percent,low
CL ANT,Antuco,8302,electricity_access,100.0,percent,very low
CL ANT,Antuco,8302,home_ownership,80.0,percent,high
CL ANT,Antuco,8302,median_household_income,1042738.0,CLP,low
CL ANT,Antuco,8302,unemployment_rate,9.49,percent,high
CL ARA,Arauco,8202,transport_logistics_employment,0.0,percent,very low
CL ARA,Arauco,8202,renter_share,0.0,percent,very low
CL ARA,Arauco,8202,electricity_access,100.0,percent,very low
CL ARA,Arauco,8202,unemployment_rate,9.49,percent,high
CL ARA,Arauco,8202,public_transport_share,35.51,percent,high
CL ARA,Arauco,8202,industry_construction_employment,38.89,percent,very high
CL ARA,Arauco,8202,home_ownership,90.0,percent,very high
CL ARA,Arauco,8202,poverty_rate,22.01,percent,medium
CL ARA,Arauco,8202,median_household_income,1042738.0,CLP,low
CL ARI,Arica,15101,industry_construction_employment,22.4,percent,high
CL ARI,Arica,15101,renter_share,31.78,percent,high
CL ARI,Arica,15101,electricity_access,100.0,percent,very low
CL ARI,Arica,15101,unemployment_rate,9.44,percent,high
CL ARI,Arica,15101,poverty_rate,25.28,percent,high
CL ARI,Arica,15101,median_household_income,1150000.0,CLP,high
CL ARI,Arica,15101,public_transport_share,24.92,percent,low
CL ARI,Arica,15101,home_ownership,52.34,percent,very low
CL ARI,Arica,15101,transport_logistics_employment,5.6,percent,very low
CL BUI,Buin,13402,renter_share,11.11,percent,very low
CL BUI,Buin,13402,electricity_access,100.0,percent,very low
CL BUI,Buin,13402,public_transport_share,49.86,percent,very high
CL BUI,Buin,13402,median_household_income,1414513.0,CLP,very high
CL BUI,Buin,13402,industry_construction_employment,16.18,percent,low
CL BUI,Buin,13402,poverty_rate,16.51,percent,very low
CL BUI,Buin,13402,unemployment_rate,8.18,percent,very low
CL BUI,Buin,13402,transport_logistics_employment,13.24,percent,medium
CL BUI,Buin,13402,home_ownership,79.37,percent,high
CL BUL,Bulnes,16102,median_household_income,871602.5,CLP,very low
CL BUL,Bulnes,16102,electricity_access,100.0,percent,very low
CL BUL,Bulnes,16102,transport_logistics_employment,0.0,percent,very low
CL BUL,Bulnes,16102,unemployment_rate,9.68,percent,high
CL BUL,Bulnes,16102,home_ownership,58.33,percent,low
CL BUL,Bulnes,16102,renter_share,16.67,percent,low
CL BUL,Bulnes,16102,public_transport_share,24.53,percent,low
CL BUL,Bulnes,16102,poverty_rate,29.65,percent,very high
CL BUL,Bulnes,16102,industry_construction_employment,77.78,percent,very high
CL CAB,Cabrero,8303,median_household_income,1042738.0,CLP,low
CL CAB,Cabrero,8303,home_ownership,54.55,percent,low
CL CAB,Cabrero,8303,electricity_access,100.0,percent,very low
CL CAB,Cabrero,8303,transport_logistics_employment,14.29,percent,medium
CL CAB,Cabrero,8303,renter_share,0.0,percent,very low
CL CAB,Cabrero,8303,public_transport_share,35.51,percent,high
CL CAB,Cabrero,8303,unemployment_rate,9.49,percent,high
CL CAB,Cabrero,8303,industry_construction_employment,42.86,percent,very high
CL CAB,Cabrero,8303,poverty_rate,22.01,percent,medium
CL CAM,Camarones,15102,electricity_access,100.0,percent,very low
CL CAM,Camarones,15102,renter_share,0.0,percent,very low
CL CAM,Camarones,15102,transport_logistics_employment,0.0,percent,very low
CL CAM,Camarones,15102,industry_construction_employment,0.0,percent,very low
CL CAM,Camarones,15102,poverty_rate,25.28,percent,high
CL CAM,Camarones,15102,public_transport_share,24.92,percent,low
CL CAM,Camarones,15102,home_ownership,50.0,percent,very low
CL CAM,Camarones,15102,median_household_income,1150000.0,CLP,high
CL CAM,Camarones,15102,unemployment_rate,9.44,percent,high
CL CAN,Canela,4202,median_household_income,1068233.0,CLP,medium
CL CAN,Canela,4202,public_transport_share,28.79,percent,medium
CL CAN,Canela,4202,unemployment_rate,9.08,percent,medium
CL CAN,Canela,4202,electricity_access,100.0,percent,very low
CL CAN,Canela,4202,transport_logistics_employment,0.0,percent,very low
CL CAN,Canela,4202,renter_share,0.0,percent,very low
CL CAN,Canela,4202,poverty_rate,24.26,percent,high
CL CAN,Canela,4202,home_ownership,100.0,percent,very high
CL CAN,Canela,4202,industry_construction_employment,0.0,percent,very low
CL CAR,Carahue,9102,median_household_income,896521.0,CLP,very low
CL CAR,Carahue,9102,electricity_access,100.0,percent,very low
CL CAR,Carahue,9102,unemployment_rate,10.36,percent,very high
CL CAR,Carahue,9102,renter_share,23.08,percent,medium
CL CAR,Carahue,9102,poverty_rate,31.96,percent,very high
CL CAR,Carahue,9102,industry_construction_employment,12.5,percent,low
CL CAR,Carahue,9102,home_ownership,69.23,percent,medium
CL CAR,Carahue,9102,transport_logistics_employment,0.0,percent,very low
CL CAR,Carahue,9102,public_transport_share,27.27,percent,low
CL CAS,Casablanca,5102,home_ownership,52.38,percent,very low
CL CAS,Casablanca,5102,renter_share,28.57,percent,medium
CL CAS,Casablanca,5102,transport_logistics_employment,11.54,percent,medium
CL CAS,Casablanca,5102,electricity_access,100.0,percent,very low
CL CAS,Casablanca,5102,public_transport_share,39.54,percent,high
CL CAS,Casablanca,5102,poverty_rate,20.94,percent,low
CL CAS,Casablanca,5102,unemployment_rate,9.8,percent,high
CL CAS,Casablanca,5102,median_household_income,1108241.0,CLP,medium
CL CAS,Casablanca,5102,industry_construction_employment,30.77,percent,high
CL CAT,Catemu,5702,home_ownership,100.0,percent,very high
CL CAT,Catemu,5702,median_household_income,1108241.0,CLP,medium
CL CAT,Catemu,5702,unemployment_rate,9.8,percent,high
CL CAT,Catemu,5702,public_transport_share,39.54,percent,high
CL CAT,Catemu,5702,renter_share,0.0,percent,very low
CL CAT,Catemu,5702,industry_construction_employment,33.33,percent,very high
CL CAT,Catemu,5702,electricity_access,100.0,percent,very low
CL CAT,Catemu,5702,transport_logistics_employment,33.33,percent,medium
CL CAT,Catemu,5702,poverty_rate,20.94,percent,low
CL CAU,Cauquenes,7201,unemployment_rate,8.44,percent,low
CL CAU,Cauquenes,7201,industry_construction_employment,5.0,percent,very low
CL CAU,Cauquenes,7201,home_ownership,66.67,percent,medium
CL CAU,Cauquenes,7201,poverty_rate,26.12,percent,high
CL CAU,Cauquenes,7201,electricity_access,100.0,percent,very low
CL CAU,Cauquenes,7201,transport_logistics_employment,15.0,percent,medium
CL CAU,Cauquenes,7201,renter_share,9.52,percent,very low
CL CAU,Cauquenes,7201,median_household_income,925271.0,CLP,very low
CL CAU,Cauquenes,7201,public_transport_share,20.39,percent,very low
CL CBB,Combarbalá,4302,renter_share,45.45,percent,high
CL CBB,Combarbalá,4302,electricity_access,100.0,percent,very low
CL CBB,Combarbalá,4302,transport_logistics_employment,0.0,percent,very low
CL CBB,Combarbalá,4302,unemployment_rate,9.08,percent,medium
CL CBB,Combarbalá,4302,public_transport_share,28.79,percent,medium
CL CBB,Combarbalá,4302,home_ownership,45.45,percent,very low
CL CBB,Combarbalá,4302,median_household_income,1068233.0,CLP,medium
CL CBB,Combarbalá,4302,industry_construction_employment,50.0,percent,very high
CL CBB,Combarbalá,4302,poverty_rate,24.26,percent,high
CL CBC,Calbuco,10102,public_transport_share,28.43,percent,medium
CL CBC,Calbuco,10102,industry_construction_employment,19.05,percent,medium
CL CBC,Calbuco,10102,home_ownership,86.96,percent,very high
CL CBC,Calbuco,10102,median_household_income,1055000.0,CLP,low
CL CBC,Calbuco,10102,transport_logistics_employment,14.29,percent,medium
CL CBC,Calbuco,10102,poverty_rate,21.43,percent,medium
CL CBC,Calbuco,10102,renter_share,0.0,percent,very low
CL CBC,Calbuco,10102,unemployment_rate,6.88,percent,very low
CL CBC,Calbuco,10102,electricity_access,100.0,percent,very low
CL CBG,Chimbarongo,6303,industry_construction_employment,16.67,percent,medium
CL CBG,Chimbarongo,6303,home_ownership,85.0,percent,very high
CL CBG,Chimbarongo,6303,electricity_access,100.0,percent,very low
CL CBG,Chimbarongo,6303,unemployment_rate,9.07,percent,medium
CL CBG,Chimbarongo,6303,median_household_income,1100000.0,CLP,medium
CL CBG,Chimbarongo,6303,transport_logistics_employment,12.5,percent,medium
CL CBG,Chimbarongo,6303,poverty_rate,21.05,percent,low
CL CBG,Chimbarongo,6303,public_transport_share,20.36,percent,very low
CL CBG,Chimbarongo,6303,renter_share,10.0,percent,very low
CL CBQ,Cobquecura,16202,electricity_access,100.0,percent,very low
CL CBQ,Cobquecura,16202,industry_construction_employment,0.0,percent,very low
CL CBQ,Cobquecura,16202,home_ownership,66.67,percent,medium
CL CBQ,Cobquecura,16202,transport_logistics_employment,0.0,percent,very low
CL CBQ,Cobquecura,16202,median_household_income,871602.5,CLP,very low
CL CBQ,Cobquecura,16202,poverty_rate,29.65,percent,very high
CL CBQ,Cobquecura,16202,unemployment_rate,9.68,percent,high
CL CBQ,Cobquecura,16202,renter_share,0.0,percent,very low
CL CBQ,Cobquecura,16202,public_transport_share,24.53,percent,low
CL CCH,Chile Chico,11401,renter_share,25.0,percent,medium
CL CCH,Chile Chico,11401,unemployment_rate,5.33,percent,very low
CL CCH,Chile Chico,11401,home_ownership,50.0,percent,very low
CL CCH,Chile Chico,11401,median_household_income,1339999.0,CLP,high
CL CCH,Chile Chico,11401,industry_construction_employment,25.0,percent,high
CL CCH,Chile Chico,11401,transport_logistics_employment,0.0,percent,very low
CL CCH,Chile Chico,11401,poverty_rate,14.94,percent,very low
CL CCH,Chile Chico,11401,public_transport_share,10.16,percent,very low
CL CCH,Chile Chico,11401,electricity_access,100.0,percent,very low
CL CCN,Curacautín,9203,electricity_access,100.0,percent,very low
CL CCN,Curacautín,9203,transport_logistics_employment,0.0,percent,very low
CL CCN,Curacautín,9203,unemployment_rate,10.36,percent,very high
CL CCN,Curacautín,9203,home_ownership,66.67,percent,medium
CL CCN,Curacautín,9203,median_household_income,896521.0,CLP,very low
CL CCN,Curacautín,9203,industry_construction_employment,10.0,percent,low
CL CCN,Curacautín,9203,public_transport_share,27.27,percent,low
CL CCN,Curacautín,9203,renter_share,6.67,percent,very low
CL CCN,Curacautín,9203,poverty_rate,31.96,percent,very high
CL CCP,Concepción,8101,public_transport_share,35.51,percent,high
CL CCP,Concepción,8101,median_household_income,1042738.0,CLP,low
CL CCP,Concepción,8101,renter_share,30.71,percent,high
CL CCP,Concepción,8101,electricity_access,100.0,percent,very low
CL CCP,Concepción,8101,transport_logistics_employment,6.96,percent,low
CL CCP,Concepción,8101,poverty_rate,22.01,percent,medium
CL CCP,Concepción,8101,industry_construction_employment,15.82,percent,low
CL CCP,Concepción,8101,unemployment_rate,9.49,percent,high
CL CCP,Concepción,8101,home_ownership,60.0,percent,low
CL CDT,Calera de Tango,13403,unemployment_rate,8.18,percent,very low
CL CDT,Calera de Tango,13403,industry_construction_employment,18.18,percent,medium
CL CDT,Calera de Tango,13403,median_household_income,1414513.0,CLP,very high
CL CDT,Calera de Tango,13403,renter_share,11.11,percent,very low
CL CDT,Calera de Tango,13403,electricity_access,100.0,percent,very low
CL CDT,Calera de Tango,13403,public_transport_share,49.86,percent,very high
CL CDT,Calera de Tango,13403,transport_logistics_employment,9.09,percent,low
CL CDT,Calera de Tango,13403,home_ownership,72.22,percent,high
CL CDT,Calera de Tango,13403,poverty_rate,16.51,percent,very low
CL CDV,Curaco de Vélez,10204,electricity_access,100.0,percent,very low
CL CDV,Curaco de Vélez,10204,transport_logistics_employment,0.0,percent,very low
CL CDV,Curaco de Vélez,10204,unemployment_rate,6.88,percent,very low
CL CDV,Curaco de Vélez,10204,median_household_income,1055000.0,CLP,low
CL CDV,Curaco de Vélez,10204,renter_share,0.0,percent,very low
CL CDV,Curaco de Vélez,10204,industry_construction_employment,0.0,percent,very low
CL CDV,Curaco de Vélez,10204,public_transport_share,28.43,percent,medium
CL CDV,Curaco de Vélez,10204,home_ownership,100.0,percent,very high
CL CDV,Curaco de Vélez,10204,poverty_rate,21.43,percent,medium
CL CER,Cerrillos,13102,median_household_income,1414513.0,CLP,very high
CL CER,Cerrillos,13102,industry_construction_employment,22.22,percent,medium
CL CER,Cerrillos,13102,home_ownership,58.97,percent,low
CL CER,Cerrillos,13102,unemployment_rate,8.18,percent,very low
CL CER,Cerrillos,13102,renter_share,23.08,percent,medium
CL CER,Cerrillos,13102,electricity_access,100.0,percent,very low
CL CER,Cerrillos,13102,transport_logistics_employment,13.33,percent,medium
CL CER,Cerrillos,13102,poverty_rate,16.51,percent,very low
CL CER,Cerrillos,13102,public_transport_share,49.86,percent,very high
CL CGN,Cartagena,5603,transport_logistics_employment,25.0,percent,medium
CL CGN,Cartagena,5603,electricity_access,100.0,percent,very low
CL CGN,Cartagena,5603,renter_share,7.14,percent,very low
CL CGN,Cartagena,5603,industry_construction_employment,12.5,percent,low
CL CGN,Cartagena,5603,unemployment_rate,9.8,percent,high
CL CGN,Cartagena,5603,public_transport_share,39.54,percent,high
CL CGN,Cartagena,5603,home_ownership,64.29,percent,low
CL CGN,Cartagena,5603,poverty_rate,20.94,percent,low
CL CGN,Cartagena,5603,median_household_income,1108241.0,CLP,medium
CL CHA,Chanco,7202,median_household_income,925271.0,CLP,very low
CL CHA,Chanco,7202,home_ownership,66.67,percent,medium
CL CHA,Chanco,7202,renter_share,33.33,percent,high
CL CHA,Chanco,7202,poverty_rate,26.12,percent,high
CL CHA,Chanco,7202,unemployment_rate,8.44,percent,low
CL CHA,Chanco,7202,transport_logistics_employment,0.0,percent,very low
CL CHA,Chanco,7202,public_transport_share,20.39,percent,very low
CL CHA,Chanco,7202,industry_construction_employment,0.0,percent,very low
CL CHA,Chanco,7202,electricity_access,100.0,percent,very low
CL CHE,Chépica,6302,median_household_income,1100000.0,CLP,medium
CL CHE,Chépica,6302,home_ownership,70.0,percent,medium
CL CHE,Chépica,6302,unemployment_rate,9.07,percent,medium
CL CHE,Chépica,6302,industry_construction_employment,9.09,percent,low
CL CHE,Chépica,6302,public_transport_share,20.36,percent,very low
CL CHE,Chépica,6302,poverty_rate,21.05,percent,low
CL CHE,Chépica,6302,transport_logistics_employment,18.18,percent,medium
CL CHE,Chépica,6302,renter_share,10.0,percent,very low
CL CHE,Chépica,6302,electricity_access,100.0,percent,very low
CL CHI,Chiguayante,8103,industry_construction_employment,16.67,percent,medium
CL CHI,Chiguayante,8103,median_household_income,1042738.0,CLP,low
CL CHI,Chiguayante,8103,electricity_access,100.0,percent,very low
CL CHI,Chiguayante,8103,transport_logistics_employment,12.5,percent,medium
CL CHI,Chiguayante,8103,home_ownership,56.82,percent,low
CL CHI,Chiguayante,8103,poverty_rate,22.01,percent,medium
CL CHI,Chiguayante,8103,unemployment_rate,9.49,percent,high
CL CHI,Chiguayante,8103,renter_share,27.27,percent,medium
CL CHI,Chiguayante,8103,public_transport_share,35.51,percent,high
CL CHL,Cholchol,9121,public_transport_share,27.27,percent,low
CL CHL,Cholchol,9121,home_ownership,88.89,percent,very high
CL CHL,Cholchol,9121,industry_construction_employment,0.0,percent,very low
CL CHL,Cholchol,9121,transport_logistics_employment,0.0,percent,very low
CL CHL,Cholchol,9121,median_household_income,896521.0,CLP,very low
CL CHL,Cholchol,9121,poverty_rate,31.96,percent,very high
CL CHL,Cholchol,9121,unemployment_rate,10.36,percent,very high
