action_id,signal_code,operator,required_value,signal_value,strength
c40_0037,MUNI_WASTE_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0036,MUNI_WASTE_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0035,MUNI_WASTE_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0034,MUNI_WASTE_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0040,MUNI_WASTE_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0010,MUNI_ENV_STANDARDS,equals,apply_standards,,mandatory
c40_0012,MUNI_ENV_STANDARDS,equals,apply_standards,,mandatory
c40_0013,MUNI_ENV_STANDARDS,equals,apply_standards,,mandatory
c40_0023,MUNI_TRANSPORT_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0029,MUNI_TRANSPORT_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0025,MUNI_TRANSPORT_AUTHORITY,equals,exclusive_authority,,mandatory
c40_0023,PROCUREMENT_PUBLIC_BIDDING,equals,public_bidding,,mandatory
c40_0029,PROCUREMENT_PUBLIC_BIDDING,equals,public_bidding,,mandatory
c40_0010,PLANS_ALIGNMENT,equals,comply,,mandatory
c40_0012,PLANS_ALIGNMENT,equals,comply,,mandatory
c40_0013,PLANS_ALIGNMENT,equals,comply,,mandatory
c40_0037,PLANS_ALIGNMENT,equals,comply,,mandatory
c40_0036,PLANS_ALIGNMENT,equals,comply,,mandatory
c40_0035,PLANS_ALIGNMENT,equals,comply,,mandatory
c40_0037,SUBSIDY_CAP_7PCT,less_than_or_equal,0.07,0.05,mandatory
icare_0027,SUBSIDY_CAP_7PCT,less_than_or_equal,0.07,0.03,mandatory
ipcc_0074,MUNI_PLANNING_AUTHORITY,equals,planning_authority,,mandatory
ipcc_0074,PLANS_ALIGNMENT,equals,comply,,mandatory
