Inventory Reference,GPC Reference Number,Subsector name,Notation Key,Total Emissions,Total Emission Units,Activity type,Activity Value,Activity Units,Emission Factor - CO2,Emission Factor - CH4,Emission Factor - N2O,Emission Factor - Unit,CO2 Emissions,CH4 Emissions,N2O Emissions,Data source ID,Data source name
58a9822a-fae0-3831-9f8b-4ec1fb48a54f,I.1.1,Residential buildings,,599.532,t CO2e,Kerosene (paraffin),8352484.555,MJ,,,,kg/m3,,,,,
58a9822a-fae0-3831-9f8b-4ec1fb48a54f,I.1.1,Residential buildings,,818452.245,t CO2e,Natural gas,14280609148,MJ,,,,kg/m3,,,,,
58a9822a-fae0-3831-9f8b-4ec1fb48a54f,I.1.1,Residential buildings,,42200.983,t CO2e,Wood or wood waste,360130991.6,MJ,,,,kg/m3,,,,,
6cf6f15d-536a-37dc-90c7-7d7ea75b5d01,I.1.2,Residential buildings,,2955600,t CO2e,Electricity use in single family home,,,20000,10200,10000,kg/TJ,20000000,285600000,2650000000,,Mock data
6cf6f15d-536a-37dc-90c7-7d7ea75b5d01,I.1.2,Residential buildings,,1438300,t CO2e,Heating in  multi family home,,,10000,3500,5020,kg/TJ,10000000,98000000,1330300000,,Mock data
6cf6f15d-536a-37dc-90c7-7d7ea75b5d01,I.1.2,Residential buildings,,3524785,t CO2e,All energy usage types in informal housing,,,30020,8090,12333,kg/TJ,30020000,226520000,3268245000,,Mock data
942f2e36-ab1f-3fbf-af9e-31d997f518c7,I.2.1,Commercial and institutional buildings and facilities,,7299.541,t CO2e,Kerosene (paraffin),101694771.6,MJ,,,,kg/m3,,,,,
942f2e36-ab1f-3fbf-af9e-31d997f518c7,I.2.1,Commercial and institutional buildings and facilities,,124011.014,t CO2e,Natural gas,2163782718,MJ,,,,kg/m3,,,,,
942f2e36-ab1f-3fbf-af9e-31d997f518c7,I.2.1,Commercial and institutional buildings and facilities,,26505.359,t CO2e,Wood or wood waste,226189072.1,MJ,,,,kg/m3,,,,,
94bd54aa-01e7-3a2f-a1c1-a49121d8dcea,I.2.2,Commercial and institutional buildings and facilities,,5618400,t CO2e,Electricity,,,30000,10300,20000,kg/TJ,30000000,288400000,5300000000,,Mock data
7752e771-bd0f-35ee-b016-c592c6d52338,I.3.1,Manufacturing industries and construction,,13340.846,t CO2e,Coal (Bituminous or Black coal),758034544.3,MJ,,,,kg/m3,,,,,
7752e771-bd0f-35ee-b016-c592c6d52338,I.3.1,Manufacturing industries and construction,,95981.65,t CO2e,Diesel oil,1343055450,MJ,,,,kg/m3,,,,,
7752e771-bd0f-35ee-b016-c592c6d52338,I.3.1,Manufacturing industries and construction,,685392.017,t CO2e,Natural gas,11958932930,MJ,,,,kg/m3,,,,,
7752e771-bd0f-35ee-b016-c592c6d52338,I.3.1,Manufacturing industries and construction,,128528.786,t CO2e,Wood or wood waste,1096827502,MJ,,,,kg/m3,,,,,
59e74d03-a234-38a3-9d8f-a13e8b424167,I.3.2,Manufacturing industries and construction,,2567988,t CO2e,Electricity,,,9000,5646,9060,kg/TJ,9000000,158088000,2400900000,,Mock data
c7025070-1f90-3034-b366-6ec4ac178666,I.5.1,"Agriculture, forestry and fishing activities",,0.127,t CO2e,Diesel oil,1780.682771,MJ,,,,kg/m3,,,,,
c7025070-1f90-3034-b366-6ec4ac178666,I.5.1,"Agriculture, forestry and fishing activities",,0.005,t CO2e,Natural gas,97.3985035,MJ,,,,kg/m3,,,,,
c7025070-1f90-3034-b366-6ec4ac178666,I.5.1,"Agriculture, forestry and fishing activities",,0.011,t CO2e,Wood or wood waste,98.43914357,MJ,,,,kg/m3,,,,,
25d0ad43-454f-34c2-ae83-03c095069891,I.5.2,"Agriculture, forestry and fishing activities",,174684,t CO2e,Electricity(Agriculture),,,5545,788,555,kg/TJ,5545000,22064000,147075000,,Mock data
064d8e7c-cddb-3766-8c70-579a1908c866,II.1.1,On-road transportation,,1943.87,t CO2e,Biodiesels(Single unit truck),27028397.55,MJ,,,,kg/m3,,,,,
064d8e7c-cddb-3766-8c70-579a1908c866,II.1.1,On-road transportation,,24808.289,t CO2e,Diesel oil(Single unit truck),347138314.3,MJ,,,,kg/m3,,,,,
064d8e7c-cddb-3766-8c70-579a1908c866,II.1.1,On-road transportation ,,836.075,t CO2e,Gas oil(Single unit truck),11395082.09,MJ,,,,kg/m3,,,,,
53a0b057-27fb-36f2-96a1-1facca177dc4,II.1.2,On-road transportation,,2046619,t CO2e,"Electricity(Commercial vehicles(trucks, delivery vans etc)",,,7565,8788,6766,kg/TJ,7565000,246064000,1792990000,,
fc7d08ad-184e-3ecf-a5b6-17039d74915f,II.2.1,Railways,,266.193,t CO2e,Diesel oil,3724803.949,MJ,,,,kg/m3,,,,,
9c36256a-80e5-31a4-a3fa-a9a641135a61,II.2.2,Railways,,1963980,t CO2e,Electricity(Passenger trains),,,6777,5666,6787,kg/TJ,6777000,158648000,1798555000,,
97330bfb-b19a-3987-97e1-bb754b26e5b8,II.3.1,Waterborne navigation,,9.177,t CO2e,Biodiesels,127604.1803,MJ,,,,kg/m3,,,,,
97330bfb-b19a-3987-97e1-bb754b26e5b8,II.3.1,Waterborne navigation,,17671.144,t CO2e,Diesel oil,247269424.7,MJ,,,,kg/m3,,,,,
97330bfb-b19a-3987-97e1-bb754b26e5b8,II.3.1,Waterborne navigation,,35.012,t CO2e,Motor gasoline (petrol),482278.1602,MJ,,,,kg/m3,,,,,
97330bfb-b19a-3987-97e1-bb754b26e5b8,II.3.1,Waterborne navigation,,10291.19,t CO2e,Residual fuel oil,131781776.2,MJ,,,,kg/m3,,,,,
9dff7279-966a-30f9-976a-8caccfa24f9f,II.3.2,Waterborne navigation,,202035,t CO2e,Electricity(Boats),,,566,788,677,kg/TJ,566000,22064000,179405000,,
