"Inventory Reference","GPC Reference Number","Subsector name","Notation Key","Total Emissions","Total Emission Units","Activity type","Activity Value","Activity Units","Emission Factor - CO2","Emission Factor - CH4","Emission Factor - N2O","Emission Factor - Unit","CO2 Emissions","CH4 Emissions","N2O Emissions","Data source ID","Data source name"
"58a9822a-fae0-3831-9f8b-4ec1fb48a54f","I.1.1","Residential buildings",,"12334.685","t CO2e",,"0",,,,,"kg/m3","12261760","5880","67045","06b23117-4890-4467-a740-b7099675413b","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.1.2","Residential buildings","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.1.3","Residential buildings","RN",,"t CO2e",,,,,,,,,,,,
"942f2e36-ab1f-3fbf-af9e-31d997f518c7","I.2.1","Commercial and institutional buildings and facilities",,"122.346","t CO2e",,"0",,,,,"kg/m3","121760","56","530","bfe11415-e453-4a46-b238-3836cfcb52a7","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.2.2","Commercial and institutional buildings and facilities","RN",,"t CO2e",,,,,,,,,,,,
"N/A","I.2.3","Commercial and institutional buildings and facilities","RN",,"t CO2e",,,,,,,,,,,,
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"99.043","t CO2e",,"0",,,,,"kg/m3","98666","112","265","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"1357.247","t CO2e",,"0",,,,,"kg/m3","1352680","1652","2915","7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"7752e771-bd0f-35ee-b016-c592c6d52338","I.3.1","Manufacturing industries and construction",,"68.013","t CO2e",,"0",,,,,"kg/m3","67957","56",,"7a9c2e70-54e8-4cd0-8065-05ba3263721d","Sistema de Estimativa de Emissão de Gases do Efeito Estufa"
"N/A","I.3.2","Manufacturing industries and construction","RN",,"t CO2e",,,,,,,,,,,,
